Country,1967-1975,1976-1984,1985-1997,1998-2006,2007-2015,2016-2023
"Iran, Islamic Republic of",90.76,98.38,85.8,81.84,67.72,53.82
Barbados,1.04,0.37,2.03,6.65,8.76,8.73
Faroe Islands,,,0.0,0.49,2.22,
Croatia,,,9.15,10.45,12.83,11.57
Sudan,1.17,2.44,0.06,69.39,61.84,12.62
France,2.46,3.58,2.62,2.88,3.98,3.34
Chad,4.05,,,,,
Mauritius,0.0,0.0,0.33,0.04,0.02,0.49
Italy,5.71,5.82,2.19,2.17,4.16,3.29
Uganda,,0.8,0.03,2.77,2.42,3.3
Israel,0.03,0.01,0.32,0.15,0.91,2.49
Philippines,1.45,0.89,1.62,1.29,2.61,1.37
Equatorial Guinea,,8.6,,,,
Dominican Republic,0.0,0.01,0.01,4.89,4.51,2.88
"Venezuela, Bolivarian Republic of",92.8,93.79,80.06,83.04,91.11,
Uzbekistan,,,,,,12.94
Saint Vincent and the Grenadines,,0.78,0.0,0.0,0.0,0.01
"Bolivia, Plurinational State of",16.67,30.95,25.11,26.28,47.7,28.09
Montenegro,,,,0.93,11.94,21.56
Sao Tome and Principe,,,,0.01,0.15,0.01
United States,3.35,4.12,2.73,2.26,8.13,14.32
Madagascar,5.07,5.53,2.7,2.91,5.64,2.07
Azerbaijan,,,63.92,82.49,92.03,90.55
Afghanistan,13.66,13.22,,,3.45,7.83
