Country,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2015,2016-2021
"Palestine, State of",,43.97,46.69,51.96,55.84,58.73,61.09
Lithuania,,,62.25,67.8,72.3,78.5,81.32
Equatorial Guinea,16.95,17.99,22.4,24.31,28.74,32.21,35.94
Mauritius,44.17,51.31,54.56,56.84,61.25,62.59,61.76
Singapore,60.68,65.61,72.23,78.65,82.69,84.75,85.06
Guyana,38.6,38.74,41.55,44.46,47.15,49.5,52.11
Italy,59.44,65.85,70.84,76.21,80.28,84.12,84.2
Somalia,16.44,19.17,18.95,20.18,22.34,26.42,29.92
Zambia,26.38,25.01,23.12,25.8,33.56,38.54,41.48
Croatia,,,63.97,68.11,72.57,76.35,77.02
Canada,63.91,69.16,73.06,75.64,76.37,80.28,81.51
Slovakia,,,63.71,65.81,69.59,72.1,75.79
Mongolia,31.38,29.53,33.48,39.34,47.95,54.48,58.87
United States,61.82,65.52,67.6,70.07,72.06,74.7,74.64
Lao People's Democratic Republic,17.81,19.95,24.96,30.48,35.25,39.84,44.79
Botswana,33.75,39.64,40.68,39.19,41.93,44.07,45.95
Maldives,21.51,29.92,37.07,46.59,57.74,64.96,70.73
China,38.05,41.42,43.21,48.54,57.27,64.71,70.96
"Venezuela, Bolivarian Republic of",44.69,49.08,52.39,53.94,58.47,58.61,53.34
