Country,1972-1980,1981-1988,1989-1996,1997-2004,2005-2012,2013-2020
"Korea, Republic of",1.0,2.8,2.05,1.92,2.58,2.85
Trinidad and Tobago,0.0,0.16,0.12,0.05,0.31,0.89
Malaysia,2.37,4.3,2.51,3.25,5.1,5.39
Jordan,6.69,11.53,14.9,13.13,12.03,9.81
Liberia,0.11,0.77,0.86,1.2,0.75,1.1
Saint Kitts and Nevis,,,,0.01,0.08,0.3
Latvia,,,0.05,0.09,0.69,0.38
Norway,0.49,0.44,0.2,0.17,0.36,0.35
"Iran, Islamic Republic of",,6.0,3.71,4.11,13.19,17.9
Viet Nam,0.01,1.05,0.48,0.43,1.31,2.59
South Africa,0.09,0.26,0.7,1.75,3.3,5.15
Guam,,,,0.04,0.36,0.0
nld_curacao,,,,,0.92,0.13
Maldives,,17.52,21.12,16.93,15.57,8.25
Chile,0.01,0.13,0.48,0.85,2.56,2.46
"Congo, The Democratic Republic of the",0.11,,2.56,1.65,1.79,1.07
Zimbabwe,,1.06,0.8,0.88,0.4,0.01
Fiji,0.03,0.04,0.02,0.06,0.3,0.62
Sierra Leone,,,,0.75,0.52,0.89
Honduras,,0.04,0.01,0.03,0.15,0.44
Pakistan,5.73,5.02,3.68,4.97,12.41,11.87
