Country,1800-1837,1838-1875,1876-1913,1914-1951,1952-1989,1990-2026,2027-2063,2064-2100
Denmark,3.5,4.87,7.93,14.03,33.68,57.11,82.35,96.73
Brazil,1.0,1.1,1.15,1.73,6.08,16.21,31.5,58.79
Saint Kitts and Nevis,1.68,2.1,2.71,3.85,6.94,23.54,41.02,62.18
Dominican Republic,1.85,1.88,2.23,3.74,9.37,13.08,24.94,41.5
Ghana,1.02,1.06,1.22,2.66,2.85,4.08,9.81,22.96
Slovenia,3.3,4.18,6.42,8.33,25.29,36.42,70.34,92.93
Uganda,1.76,2.07,2.48,3.22,3.49,3.02,6.5,15.5
Kyrgyzstan,1.33,1.75,2.51,4.76,9.59,5.93,12.17,28.56
Seychelles,1.15,1.17,1.38,2.77,7.31,20.6,35.23,51.71
Cameroon,0.96,1.05,1.16,1.54,3.17,4.91,10.31,24.77
Singapore,1.38,1.96,3.37,5.16,15.9,87.52,133.99,120.16
Togo,1.56,1.73,1.94,2.01,2.93,3.29,8.48,20.01
Tonga,2.17,2.42,2.76,3.62,5.04,10.05,15.03,34.59
Saudi Arabia,1.16,1.2,1.31,3.14,28.63,44.3,64.46,81.33
India,1.93,1.82,1.9,2.14,2.22,3.85,11.22,23.91
Angola,0.84,1.0,1.18,2.54,7.22,6.08,7.13,16.68
Barbados,1.69,2.11,2.73,3.97,10.83,15.66,24.09,45.09
Zambia,1.02,1.12,1.22,1.76,3.56,2.98,4.88,11.76
Hong Kong,1.73,1.83,2.71,4.68,14.42,50.04,77.42,89.22
Morocco,1.43,1.69,2.08,3.35,4.88,9.22,20.18,43.76
Bahamas,2.1,2.62,3.38,8.44,28.75,34.59,43.42,64.21
