Country,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2019,2020-2021
Seychelles,1.29,6.6,2.58,15.95,10.5,11.77,1.52,1.24
Papua New Guinea,3.44,7.07,7.62,10.19,21.96,7.93,15.7,18.04
Turkmenistan,0.1,0.39,0.52,0.75,1.04,0.72,1.25,0.91
Mauritania,1.03,2.19,1.68,2.47,4.55,3.58,6.34,12.85
Guatemala,2.15,3.25,4.5,5.72,6.44,3.61,3.44,5.41
Belgium,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viet Nam,0.89,1.37,1.61,1.83,3.04,2.32,1.69,4.03
Lithuania,0.0,0.0,0.67,1.33,1.0,2.33,4.5,9.0
Romania,0.0,0.67,0.67,0.0,0.33,,,13.0
Cameroon,0.82,1.44,2.62,4.62,5.04,4.93,7.79,8.91
Malawi,3.76,9.05,16.15,23.08,24.3,20.01,23.02,26.17
Tunisia,0.1,0.11,1.16,2.96,0.24,0.88,0.54,3.18
El Salvador,1.92,3.06,7.58,12.74,7.43,3.71,0.31,1.07
Cambodia,1.34,4.04,7.95,7.97,14.53,12.3,6.75,12.43
Palau,176.31,275.91,355.15,302.24,305.95,319.03,326.17,405.13
Syrian Arab Republic,0.16,0.16,0.75,1.04,0.65,,,
