Country,1997-2002,2003-2008,2009-2013,2014-2018,2019-2023
Malawi,7.93,12.74,21.7,16.67,22.48
Somalia,,8.05,9.61,19.09,22.5
Monaco,19.44,21.53,22.22,23.33,35.83
"Iran, Islamic Republic of",4.28,3.91,2.9,4.77,5.65
Tunisia,10.04,20.88,27.06,31.34,23.25
Benin,6.43,8.23,9.4,7.47,11.38
Czechia,15.33,16.25,20.2,20.7,24.3
Ukraine,6.78,6.85,8.58,12.07,20.58
Samoa,6.12,6.8,5.71,8.45,10.75
Belarus,10.31,26.46,29.73,31.5,40.0
Algeria,3.75,6.68,17.32,29.26,15.12
Costa Rica,21.35,36.26,38.25,36.14,46.32
Gabon,8.76,12.26,15.01,15.11,17.75
Iceland,31.75,32.28,40.95,40.95,43.81
Luxembourg,17.78,22.22,23.0,26.67,31.33
Pakistan,8.55,21.54,22.04,20.55,20.3
South Sudan,,,26.51,27.68,30.8
Cambodia,7.0,12.47,20.65,20.26,19.2
Sudan,7.49,14.67,23.64,29.27,
Antigua and Barbuda,5.26,9.65,10.53,11.11,10.0
Jamaica,13.05,12.22,12.95,15.56,26.35
