Country,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Marshall Islands,,,,,,,,5.41
Saint Vincent and the Grenadines,,,,,,,,
Kenya,7.79,,,,,1.88,,3.97
Bulgaria,8.54,5.49,7.68,10.88,11.16,7.79,5.42,4.53
"Bolivia, Plurinational State of",,2.04,2.61,1.79,1.85,3.0,3.46,5.34
Montenegro,,,,19.36,18.05,16.77,15.56,16.5
Mali,,,7.74,,5.76,2.63,2.71,
Malawi,0.82,,,1.69,5.35,,4.39,1.2
Estonia,6.66,4.52,13.98,10.49,7.72,5.74,4.95,4.93
Poland,13.98,7.22,7.6,8.5,8.48,6.02,3.78,2.84
Nicaragua,4.46,,,4.63,3.68,,,
Malaysia,,1.53,1.75,1.52,1.59,1.85,1.79,2.42
Spain,7.72,8.64,17.36,21.57,23.63,19.38,14.98,13.7
ant,14.79,11.02,8.66,9.05,,,,
Norway,3.32,1.92,2.68,2.64,3.08,4.14,3.57,3.5
Kiribati,,,20.88,,,8.28,,6.08
Cabo Verde,,,,,,23.49,9.71,11.0
Finland,6.46,5.1,6.7,6.14,6.85,7.56,6.56,5.46
New Caledonia,,,,,11.51,,,
Angola,,,4.26,4.25,8.44,,,
Bahrain,,,0.69,0.73,,,,
Guatemala,1.29,,2.99,2.62,2.05,1.49,1.68,1.55
Qatar,,0.26,0.17,0.39,0.14,0.11,0.09,0.1
Sudan,,,,14.78,,,,
India,1.22,,1.15,1.37,,,2.87,2.76
Uruguay,8.51,6.22,5.29,4.5,4.49,5.28,5.64,6.76
