Country,1968-1983,1984-1988,1989-1993,1994-1997,1998-2001,2002-2005,2007-2013
Kuwait,0.22,0.17,,,0.2,,0.42
United States,0.3,0.49,0.52,0.55,0.47,0.42,0.3
Trinidad and Tobago,0.45,0.53,1.06,0.45,,,
Singapore,0.45,0.52,0.43,0.51,0.67,0.5,0.3
France,0.26,0.29,0.2,0.19,0.27,0.26,0.26
Jordan,,,,,,,0.09
Kazakhstan,0.6,1.09,1.53,1.39,1.42,1.86,1.99
Dominica,3.96,,,,,,
scg,,,,0.29,0.31,0.34,
Malaysia,,,,,,,0.01
Serbia,,,,,0.41,0.2,0.12
Greece,0.23,0.16,0.14,0.1,0.11,0.12,0.06
Czechia,,0.49,0.41,0.47,0.37,0.39,0.27
Bosnia and Herzegovina,,2.34,1.67,,,,
yug,0.61,0.53,0.5,,,,
Réunion,,,,,,,0.47
Argentina,0.31,0.28,0.36,0.32,,,
Sri Lanka,2.38,2.09,,,,,
Australia,0.19,0.26,0.2,0.23,0.25,0.24,0.39
Cuba,0.85,,0.69,0.35,,,
