Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2016,2017-2019
scg,,,,13.9,,,,
Saint Vincent and the Grenadines,5.94,5.69,5.63,5.84,6.08,6.78,7.25,7.35
Montenegro,19.11,20.4,22.38,24.9,26.34,26.96,27.04,26.84
Belarus,8.37,7.92,6.94,5.8,5.46,5.52,5.27,5.62
Niue,15.59,16.21,16.27,16.53,17.92,18.73,18.91,19.09
"Venezuela, Bolivarian Republic of",12.68,12.7,12.75,13.26,13.96,14.34,15.07,14.61
Serbia,14.4,16.08,16.73,19.5,23.17,25.98,27.57,27.1
Austria,13.24,14.9,16.84,18.89,20.94,23.04,24.2,22.96
Singapore,23.33,23.43,22.26,21.58,21.43,21.03,19.67,19.33
Mali,3.4,3.53,3.65,3.72,3.82,3.95,4.08,4.28
Zambia,4.8,4.85,4.79,4.67,4.9,5.41,5.72,6.05
Zimbabwe,7.38,7.1,8.72,10.92,11.02,10.63,10.91,11.11
Pakistan,3.03,3.46,4.01,4.46,4.76,5.0,5.24,5.42
Cambodia,8.52,8.89,9.07,9.24,9.65,10.22,10.79,11.36
Kyrgyzstan,8.62,7.78,6.32,5.63,5.34,5.29,5.35,5.34
Palau,35.94,36.9,37.71,37.48,38.86,39.83,40.32,40.97
Libya,3.24,3.58,4.02,4.05,4.82,5.23,5.16,5.09
Vanuatu,7.64,8.33,8.46,7.7,8.49,9.29,9.69,9.95
Guinea,3.36,3.47,3.6,3.73,3.87,4.0,4.19,4.36
