Country,1976-1985,1986-1995,1996-2004,2005-2013,2014-2022
Eritrea,,,-11.98,,
Belize,2.55,0.41,0.3,0.06,0.08
Grenada,0.0,0.0,-0.29,0.38,0.67
Marshall Islands,,,,2.06,
Georgia,,,0.12,0.7,1.65
Guyana,0.0,0.0,-0.01,,0.15
Sudan,0.0,0.0,,,0.16
Iraq,,,,0.15,0.09
Pakistan,-0.0,0.02,0.02,0.04,0.05
Brunei Darussalam,,,0.53,0.15,
Kuwait,0.43,0.97,-1.92,6.98,4.98
kos,,,,0.49,0.92
"Korea, Republic of",0.14,0.5,0.78,1.88,2.4
"Tanzania, United Republic of",0.0,0.0,0.0,,
Aruba,,8.63,0.11,0.32,0.95
El Salvador,,,0.05,0.21,0.17
Rwanda,,,,0.32,0.17
Belarus,,0.02,-0.15,0.13,0.11
Bermuda,,,0.74,0.87,0.01
Burkina Faso,0.02,0.05,0.02,-0.24,0.16
Canada,1.18,1.36,4.09,3.38,4.25
Guatemala,0.0,-0.01,-0.87,0.24,0.3
Fiji,0.19,-2.2,-1.02,0.05,0.04
Niger,-0.0,0.22,0.12,-0.39,0.31
Yemen,,0.0,0.12,0.22,0.02
Dominica,0.0,0.0,-0.12,-0.08,-0.25
