Country,1977-1986,1987-1996,1997-2005,2006-2014,2015-2023
Andorra,,,,,-336401691.12
Iceland,-14680000.0,12215522.46,708416144.5,-723059650.47,-194041958.64
Japan,,26440694396.69,26408551446.21,92508055012.06,147795559072.46
Philippines,-65300000.0,-767500000.0,-1046764744.81,571484026.68,-5296614338.99
Eswatini,-17369204.33,-37524480.96,-43742403.74,-76118791.91,-29014901.32
Cambodia,,-120084800.0,-182596907.88,-1296468828.67,-3064375443.86
Suriname,,,-28000000.0,43677976.77,-65688956.52
Chile,-208060000.0,-1316106377.65,-3055959271.55,-9009458886.59,-4841949808.02
Niger,-15175474.13,-2795632.63,-13175960.6,-607745030.41,-504639270.39
Cabo Verde,8734.18,-6155125.11,-35198065.62,-135517487.6,-99817140.18
Dominica,-2177037.04,-19885555.56,-19630835.01,-44311720.14,-34899627.86
Jordan,-47801595.42,-27671260.66,-609560002.16,-2232773469.89,-1164207746.48
Sint Maarten (Dutch part),,,,-14256145.25,-25819341.42
Belgium,,,-3891685816.54,-7152755885.93,8172669833.91
Argentina,-461600000.0,-2386622860.17,-6145531539.58,-7308137696.22,-8972066158.04
Cyprus,-62892190.63,-102836592.84,-521940700.71,3128235827.75,-2837228679.32
"Tanzania, United Republic of",,-70526266.77,-439065748.16,-1296221925.42,-1111939707.05
Kyrgyzstan,,-47876500.0,-47236124.87,-358780357.94,-309203112.5
Seychelles,-4769700.55,-18033703.35,-45316448.54,-183424290.93,-155949146.69
Cayman Islands,,,,,-2915676068.06
