Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017
Greece,9.33,9.21,9.49,9.78,9.18,8.82,9.35,7.48,6.27,6.14
Lao People's Democratic Republic,0.19,0.21,0.22,0.27,0.3,0.38,0.6,0.94,1.36,2.36
Nicaragua,0.61,0.67,0.77,0.9,1.0,1.03,0.99,1.03,1.02,1.07
Spain,6.9,7.02,7.18,8.06,8.72,9.45,7.87,6.68,6.3,6.35
Qatar,31.38,48.36,49.09,26.7,33.26,32.97,30.43,28.01,30.48,29.81
Japan,10.73,11.42,11.49,11.63,11.68,11.64,10.98,11.82,11.33,10.97
Sri Lanka,0.38,0.46,0.57,0.79,0.91,0.93,1.0,1.29,1.45,1.64
Hong Kong,14.4,18.2,19.49,15.96,13.27,12.61,12.59,14.94,17.1,16.2
Uganda,0.09,0.09,0.1,0.11,0.11,0.14,0.18,0.19,0.2,0.2
Togo,0.34,0.36,0.36,0.33,0.41,0.59,0.67,0.93,0.98,0.97
Georgia,2.58,0.98,1.68,1.25,1.31,2.02,2.01,2.43,2.75,2.85
Saudi Arabia,11.43,12.53,9.74,7.49,12.0,14.93,16.68,17.73,19.4,18.81
Hungary,8.11,7.43,7.14,7.08,7.84,8.04,7.31,6.57,6.39,6.68
Latvia,7.67,5.18,5.61,4.69,5.67,6.43,6.41,6.18,6.17,6.48
Finland,14.37,14.46,14.89,14.09,16.17,16.82,14.97,13.4,12.12,12.22
Argentina,3.37,3.47,3.77,3.44,3.01,3.88,4.27,4.51,4.66,4.6
Botswana,2.04,2.16,1.92,4.32,5.74,5.2,3.95,4.27,7.78,7.84
Norway,8.85,9.38,10.42,7.09,8.32,10.47,10.55,10.24,9.56,9.31
Albania,1.33,0.78,0.81,1.22,1.72,1.82,2.09,2.09,2.07,1.93
Luxembourg,31.53,27.46,20.25,17.47,23.17,29.38,49.4,35.85,41.08,39.82
Brazil,1.59,1.68,1.99,1.96,1.82,1.9,2.17,2.6,2.76,2.46
South Africa,5.46,5.18,5.1,5.49,5.61,6.19,6.78,6.49,6.31,6.05
Cyprus,7.63,7.38,8.66,9.03,10.02,9.44,11.48,8.31,6.74,6.85
