Country,1975-1980,1981-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2016,2017-2021
United Arab Emirates,31.64,32.93,33.53,35.61,36.55,36.76,37.46,39.49,38.36
Kuwait,39.82,40.82,41.69,47.29,48.19,49.9,50.28,50.34,50.74
"Moldova, Republic of",,,54.77,55.07,56.58,55.17,56.32,57.46,55.39
Bosnia and Herzegovina,,,,38.07,42.89,45.44,45.92,46.23,45.28
Sudan,24.76,25.12,23.57,23.07,22.72,21.91,21.31,20.46,26.05
India,43.62,45.34,46.48,47.16,47.45,48.2,48.2,47.84,44.16
Jordan,39.21,38.79,40.77,43.22,43.26,44.02,44.19,44.64,47.63
Ireland,60.22,61.18,63.88,67.15,71.39,73.1,73.82,75.19,74.92
Bangladesh,25.61,24.9,26.09,30.24,30.25,30.12,29.99,27.29,25.81
"Venezuela, Bolivarian Republic of",54.01,54.1,54.09,54.39,54.83,53.53,51.96,48.11,42.86
Chile,26.87,27.9,38.56,53.47,54.25,55.43,56.38,58.09,56.21
"Iran, Islamic Republic of",33.27,38.54,37.95,38.5,40.03,40.2,39.67,38.19,38.5
Colombia,27.18,28.42,31.41,42.95,42.9,41.5,42.19,43.3,39.87
France,64.18,66.95,67.05,68.62,69.08,68.77,68.83,70.02,68.06
Honduras,24.69,31.75,35.34,38.66,39.65,41.61,41.55,41.17,40.88
Switzerland,72.91,75.26,75.9,76.84,77.49,78.89,78.73,80.07,80.31
Tunisia,48.64,48.51,50.75,51.99,52.0,52.06,54.91,63.83,63.28
Angola,17.24,18.27,18.76,20.44,20.17,27.65,28.93,28.94,32.34
Senegal,47.19,50.32,50.66,51.77,53.65,55.82,56.06,56.43,55.46
Thailand,30.63,34.47,36.33,39.07,41.1,41.98,42.26,41.02,40.58
