Country,1991-1997,1998-2004,2005-2010,2011-2016,2017-2022
Malaysia,27.76,24.96,25.29,25.02,25.03
Greece,46.39,40.15,35.54,35.81,33.33
Slovakia,6.19,10.75,14.29,15.45,14.99
Sudan,61.31,61.96,61.44,61.94,60.15
Austria,13.61,13.49,14.99,14.09,12.89
Cyprus,24.43,23.64,20.56,16.53,12.87
Kyrgyzstan,54.3,53.24,44.43,41.02,34.62
"Congo, The Democratic Republic of the",88.85,89.97,87.37,83.48,85.91
Azerbaijan,66.51,68.89,67.75,67.43,67.87
Liberia,84.99,81.89,80.98,79.53,78.84
Maldives,42.22,38.53,32.97,23.74,22.55
Djibouti,58.07,58.46,57.23,55.5,53.37
Albania,66.44,63.44,58.81,59.83,54.53
Türkiye,53.32,50.52,40.33,35.13,30.95
Germany,10.42,11.26,11.88,11.09,9.35
Sweden,12.18,10.89,10.69,10.34,9.99
Bahamas,15.52,15.93,14.73,15.58,16.43
Thailand,65.42,60.27,56.5,54.88,51.37
Finland,15.93,13.28,12.99,13.77,13.7
Qatar,1.27,1.18,0.83,0.48,0.4
Burkina Faso,95.54,94.89,92.84,88.56,86.22
"Korea, Democratic People's Republic of",84.86,85.3,84.25,83.72,83.39
Paraguay,54.22,54.63,50.45,45.11,43.59
"Tanzania, United Republic of",90.62,90.0,88.3,86.78,85.91
Viet Nam,83.13,78.93,68.81,63.24,55.3
Chile,27.82,27.24,25.32,25.89,26.01
Trinidad and Tobago,24.4,22.07,20.66,21.82,24.46
Mauritius,20.89,20.73,19.82,20.54,19.11
