Country,1971-1978,1979-1986,1987-1993,1994-2000,2001-2007,2008-2014
Portugal,28.77,28.08,26.76,29.13,32.73,36.38
Estonia,,,6.03,9.7,13.12,12.94
Turkmenistan,,,24.31,12.77,17.72,16.1
New Zealand,36.66,39.65,40.15,42.52,40.58,44.23
Paraguay,66.63,79.68,83.43,85.49,89.51,92.65
Sri Lanka,50.85,58.87,64.3,60.29,48.88,50.45
Greece,18.35,21.44,21.67,22.8,22.74,24.43
Niger,,,,53.85,55.37,58.78
Slovakia,10.49,7.16,7.11,9.78,16.48,20.6
Guatemala,34.82,38.5,50.29,46.06,47.65,49.59
Ukraine,,,8.13,9.34,10.25,12.34
Georgia,,,11.57,24.66,37.91,40.59
Hong Kong,13.55,16.49,14.3,25.07,16.42,14.2
Peru,34.27,32.16,35.19,37.22,36.72,40.2
Trinidad and Tobago,17.99,23.53,18.0,16.33,12.78,14.22
Thailand,33.5,32.72,33.59,31.18,27.61,25.83
Nigeria,52.06,48.26,43.85,47.92,51.19,43.7
Ghana,53.49,58.22,63.54,59.79,52.01,52.29
"Korea, Democratic People's Republic of",3.18,4.11,3.56,2.57,1.95,2.74
