Country,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
Trinidad and Tobago,7330.0,11385.0,20728.33,26906.0,27248.0,25374.0
Morocco,2933.33,3706.67,5168.33,6806.0,7468.0,8532.0
Timor-Leste,,1860.0,2998.33,7934.0,5462.0,5650.0
"Micronesia, Federated States of",2316.67,2313.33,2815.0,3250.0,3754.0,4026.0
Saudi Arabia,37125.0,37768.33,43706.67,51098.0,50948.0,51868.0
Nepal,946.67,1235.0,1595.0,2194.0,3012.0,4202.0
Comoros,1543.33,1685.0,2030.0,2408.0,2986.0,3538.0
Slovakia,8750.0,10773.33,16111.67,24608.0,28876.0,33308.0
Armenia,1868.33,2410.0,5368.33,8282.0,11142.0,15228.0
Sint Maarten (Dutch part),,,,36245.0,40446.0,42246.0
Kuwait,58295.0,69028.33,87016.67,86574.0,62932.0,58636.0
Hong Kong,21575.0,26896.67,37458.33,50748.0,57834.0,67606.0
India,1336.67,1913.33,2830.0,4170.0,5438.0,7046.0
Guinea-Bissau,1056.67,1088.33,1103.33,1300.0,1580.0,2004.0
Uzbekistan,2265.0,2470.0,3573.33,5608.0,6722.0,8288.0
Belgium,20783.33,26068.33,33585.0,40396.0,47486.0,58242.0
Senegal,1576.67,1876.67,2311.67,2654.0,2940.0,3636.0
Türkiye,9248.33,9698.33,11523.33,17646.0,25176.0,30110.0
Panama,6078.33,7868.33,10243.33,15564.0,24702.0,31636.0
Mozambique,286.0,416.67,650.0,950.0,1220.0,1256.0
Haiti,2055.0,2153.33,2393.33,2784.0,3066.0,3238.0
Suriname,6756.67,7126.67,9561.67,13094.0,15766.0,15686.0
"Korea, Republic of",10770.0,16613.33,24646.67,31570.0,37764.0,46150.0
Romania,4931.67,5751.67,9471.67,17606.0,22294.0,34000.0
Israel,20060.0,22653.33,25668.33,29200.0,36180.0,42598.0
Turkmenistan,3850.0,3785.0,5346.67,9018.0,12334.0,14555.0
Colombia,5555.0,6620.0,8056.67,10654.0,13296.0,16308.0
Lesotho,1318.33,1618.33,2210.0,2692.0,3098.0,2990.0
