Country,1950-1971,1972-1993,1994-2015,2016-2037,2038-2058,2059-2079,2080-2100
Cook Islands,10.37,12.46,9.21,7.94,7.47,6.44,5.51
Bahrain,10.19,9.53,6.98,5.08,4.3,4.44,4.39
"Virgin Islands, U.S.",8.82,9.31,7.22,6.81,6.64,6.27,5.57
Brunei Darussalam,9.46,10.44,9.73,7.31,5.75,5.31,4.98
Gibraltar,7.73,7.01,6.64,5.89,5.18,4.91,4.58
Estonia,8.97,7.93,7.28,5.76,5.2,5.21,4.98
Trinidad and Tobago,9.84,10.73,9.36,6.61,5.48,5.16,4.99
French Guiana,7.99,9.37,8.87,9.19,8.45,7.53,6.65
Dominica,9.6,12.19,8.99,7.02,5.88,5.0,4.62
Lesotho,10.09,10.7,11.92,10.17,9.35,8.31,7.48
Ecuador,9.94,10.92,10.31,8.47,6.59,5.57,5.05
United Kingdom,7.2,7.88,6.49,5.99,5.07,4.92,4.76
"Tanzania, United Republic of",10.42,10.16,10.55,11.03,10.35,9.05,7.79
Gambia,9.85,9.8,10.63,11.28,9.89,8.31,7.2
Portugal,8.83,8.86,6.55,5.25,4.59,4.46,4.44
Tokelau,7.88,11.38,9.79,9.05,7.63,6.55,5.92
Romania,8.87,7.89,7.33,5.75,5.42,5.31,5.05
Iceland,8.59,9.41,7.56,6.03,5.33,4.83,4.64
Jamaica,9.54,11.27,10.76,7.53,5.48,4.7,4.46
"Korea, Democratic People's Republic of",12.16,11.21,8.28,6.62,5.91,5.53,5.06
Eritrea,10.67,10.16,10.97,11.38,9.55,8.01,6.9
Northern Mariana Islands,9.72,8.55,6.31,6.62,6.1,5.52,5.04
Russian Federation,9.98,8.69,7.82,6.29,5.43,5.7,5.49
Egypt,9.57,10.56,10.6,9.39,8.24,7.31,6.4
French Polynesia,10.05,10.62,9.14,7.21,5.45,4.81,4.5
Chile,10.26,10.41,8.65,6.34,5.12,4.65,4.42
Kiribati,9.23,10.94,10.98,10.04,9.14,8.21,7.19
El Salvador,10.43,11.46,11.33,9.48,7.03,5.68,5.04
Wallis and Futuna,10.28,10.84,10.49,8.79,6.41,5.79,5.17
