Country,1969-1976,1977-1984,1985-1992,1993-2000,2001-2008,2009-2015,2016-2022
Grenada,,,11.82,8.38,7.86,8.96,9.96
Rwanda,62.2,57.22,43.62,49.11,32.45,21.86,18.19
Latvia,,7.06,7.7,9.74,5.55,3.54,2.11
Jamaica,24.08,21.42,18.9,16.97,15.64,14.87,14.06
Fiji,,,12.85,10.58,10.81,8.43,11.93
Brazil,43.76,35.5,28.17,21.84,14.76,10.39,9.01
Cambodia,,46.57,41.76,38.32,28.2,19.23,13.71
Seychelles,,,11.49,9.05,8.65,8.83,9.13
Croatia,,12.9,9.36,6.16,4.41,3.34,2.87
Egypt,60.16,51.28,36.22,25.86,19.21,13.93,10.59
Montenegro,,,10.65,8.95,7.06,3.5,1.39
Mexico,40.39,29.72,23.46,17.32,10.55,8.64,8.36
Samoa,,,12.55,9.96,7.81,7.54,6.71
Belarus,,,9.85,8.12,3.28,1.73,1.13
Sweden,8.0,4.9,3.68,2.58,1.96,1.6,1.44
Slovakia,,11.8,9.24,6.35,4.03,3.2,3.0
Andorra,,,6.1,4.34,2.8,2.09,1.53
United Kingdom,11.46,7.36,4.8,4.0,3.47,2.89,2.79
Trinidad and Tobago,29.79,24.67,20.08,18.03,16.56,13.41,10.8
Denmark,9.28,5.32,4.49,3.78,3.06,2.97,2.46
Bahrain,26.02,18.88,15.58,7.86,3.69,3.23,2.99
"Korea, Democratic People's Republic of",,,22.18,34.51,22.7,13.96,9.54
Kyrgyzstan,,28.02,24.67,23.79,19.31,16.01,12.69
Hungary,27.12,17.38,12.25,7.06,4.39,3.13,2.29
Panama,29.76,23.19,18.05,15.3,12.38,10.06,8.73
Finland,9.11,5.14,3.94,2.9,2.1,1.53,1.39
Serbia,,,16.75,10.57,5.96,4.44,3.53
