Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2018,2019-2022
Kyrgyzstan,3.57,1.76,1.13,2.07,2.73,2.91,2.71
Iraq,,,,,,,2.23
Algeria,,,,,,,3.92
Spain,7.03,7.18,8.49,8.86,6.46,6.19,5.68
Guyana,,,,,,,3.93
United Arab Emirates,30.96,29.95,29.64,31.42,25.97,25.38,20.76
Barbados,,,,,,,3.93
Latvia,6.65,5.32,6.06,6.85,6.31,6.97,7.77
Senegal,0.47,0.46,0.52,0.57,0.73,0.89,0.97
Mongolia,3.48,2.73,3.13,4.37,10.48,9.61,13.43
Somalia,,,,,,,0.43
Brazil,1.65,1.95,1.87,2.05,2.77,2.43,2.12
El Salvador,0.91,1.23,1.38,1.43,1.3,1.35,1.43
Thailand,2.47,2.66,2.77,3.34,3.86,3.71,3.95
South Sudan,,,,,,,0.34
"Iran, Islamic Republic of",3.7,4.53,4.96,6.54,6.65,6.97,7.67
Comoros,,,,,,,0.54
"Palestine, State of",,,,,,,0.95
"Tanzania, United Republic of",0.14,0.13,0.16,0.23,0.32,0.32,0.3
Haiti,,,,,,,0.3
