Country,1991-1997,1998-2004,2005-2010,2011-2016,2017-2022
Italy,4.52,3.83,1.74,1.43,1.14
"Palestine, State of",11.44,10.34,9.8,7.21,4.19
Afghanistan,40.42,37.51,32.84,26.47,21.58
Armenia,0.63,0.58,0.44,0.32,0.15
Belgium,2.49,1.97,1.33,0.91,0.77
United Kingdom,0.62,0.35,0.33,0.36,0.36
Comoros,17.75,15.28,9.82,5.18,3.78
Denmark,1.46,0.93,0.56,0.28,0.37
Colombia,5.8,5.07,4.22,4.24,3.01
Honduras,10.82,10.19,8.81,9.53,7.79
Côte d'Ivoire,27.96,26.82,23.93,16.34,13.17
Spain,4.03,1.99,1.13,0.62,0.39
"Korea, Republic of",10.64,8.7,6.47,4.82,3.87
Mongolia,9.04,8.83,7.94,3.38,1.38
Azerbaijan,37.55,37.43,36.4,35.31,31.43
Suriname,1.38,1.56,2.33,3.65,4.39
Tonga,9.61,8.98,7.57,5.93,4.34
