Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Mongolia,3.15,2.61,2.09,1.79,1.78,1.82,1.74,2.61
Mauritania,1.77,1.76,1.72,1.69,1.65,1.67,1.76,1.83
"Venezuela, Bolivarian Republic of",1.6,1.69,1.83,1.97,2.1,2.33,2.79,3.73
Greece,4.23,5.14,4.43,5.23,5.72,4.92,5.61,6.09
Italy,4.4,5.15,4.24,5.45,5.69,5.76,6.08,6.5
Dominica,2.25,2.49,2.59,2.66,2.81,3.05,3.76,4.73
Burkina Faso,2.25,2.31,2.19,1.85,1.56,1.49,1.3,1.37
Central African Republic,2.4,2.2,1.87,1.49,1.41,1.41,1.6,1.55
Montenegro,2.79,3.08,2.4,3.24,4.55,4.29,5.12,6.22
Russian Federation,2.4,3.22,2.63,4.07,4.63,4.0,4.92,6.12
Ghana,1.52,1.5,1.58,1.69,1.73,1.54,1.64,1.98
Senegal,1.82,1.81,1.84,1.88,1.86,1.71,1.51,1.49
Mali,2.16,2.39,2.4,2.13,1.8,1.65,1.46,1.3
Marshall Islands,2.33,1.96,2.01,1.41,1.16,1.24,2.22,2.97
Colombia,1.56,1.7,1.73,1.84,1.99,2.32,3.11,4.06
