Country,1969-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2011
Czechia,,14.86,17.22,15.69,9.88,7.77
Guadeloupe,,,,,,13.94
Colombia,11.97,18.28,,18.68,,
Serbia,,,,,2.25,1.08
Tajikistan,12.91,11.48,14.7,8.26,3.51,4.13
Seychelles,,15.06,9.88,,,
Bosnia and Herzegovina,,,,,,
Argentina,19.29,10.81,9.64,10.86,,
Albania,,,14.03,13.43,16.52,13.17
Nicaragua,9.44,,,,,
"Venezuela, Bolivarian Republic of",41.35,31.92,26.34,26.37,,
Mauritius,13.89,5.75,19.29,21.6,18.85,16.96
Bahamas,16.21,16.36,19.12,9.29,,
Sao Tome and Principe,,23.36,6.6,,,
Norway,10.33,10.43,10.73,7.93,7.06,5.49
