Country,1962-1974,1975-1987,1988-1999,2000-2011,2012-2023
Libya,30.48,12.63,6.59,17.08,7.03
Aruba,,27.09,11.91,5.4,5.33
Somalia,13.51,37.61,110.02,,
Benin,10.39,15.6,13.12,11.72,8.99
Azerbaijan,,,290.17,36.27,10.63
South Sudan,,,,,60.42
Belarus,,,146.17,62.95,17.89
Antigua and Barbuda,,13.91,11.74,5.42,3.18
Malaysia,17.83,16.97,14.89,9.84,5.28
Morocco,11.35,15.05,11.6,11.15,5.24
Peru,19.01,76.01,790.0,10.02,11.59
Sudan,15.6,32.9,60.59,26.72,49.67
United Kingdom,10.41,19.8,9.85,8.8,4.06
Jordan,15.23,20.47,8.47,12.95,3.78
Chile,98.46,96.99,22.46,15.17,8.46
Kazakhstan,,,133.22,35.96,12.4
Lesotho,,18.93,13.05,12.56,9.39
Philippines,14.14,20.03,21.48,9.82,11.45
Central African Republic,11.88,13.05,6.89,5.68,8.6
Botswana,,27.04,19.35,17.68,7.85
Mali,13.04,13.21,9.48,12.93,10.84
