Country,1964-1976,1977-1986,1987-1995,1996-2004,2005-2014
South Africa,,,,,1.28
Dominica,,12.65,,,
Latvia,,45.24,41.09,38.96,26.27
Israel,8.69,7.26,7.92,7.06,6.54
Fiji,,2.02,,,4.54
ant,,2.46,,,
Kyrgyzstan,,24.02,20.41,16.34,14.05
Belgium,13.55,24.98,24.81,25.72,21.62
Kuwait,0.63,1.2,2.2,2.87,1.7
Ukraine,,31.45,28.65,34.36,
Malaysia,,,,,0.2
Jordan,,,,,0.38
Guadeloupe,7.55,13.71,,,13.81
Belarus,,37.56,32.73,45.33,
Maldives,,,,2.99,
France,15.58,22.37,25.26,22.87,18.1
Syrian Arab Republic,,,,,0.25
Saint Vincent and the Grenadines,9.57,13.67,,,
Grenada,,,10.46,,
Brazil,,5.14,,,
Greece,3.03,3.39,3.86,3.67,4.35
Albania,,,2.26,4.99,5.14
"Venezuela, Bolivarian Republic of",8.64,6.64,6.63,,
"Virgin Islands, U.S.",,4.65,,,
