Country,2000-2004,2005-2009,2010-2013,2014-2017,2018-2021
Argentina,44.1,44.73,38.21,34.12,37.9
Armenia,69.09,65.7,80.34,83.46,83.51
Papua New Guinea,8.86,8.63,10.08,9.37,9.98
Côte d'Ivoire,83.25,78.38,72.49,61.31,54.21
Romania,20.65,19.78,22.25,21.59,20.43
Tonga,16.58,14.65,13.66,10.07,8.83
Morocco,73.86,63.27,57.06,60.16,57.9
Colombia,23.85,28.36,28.45,29.35,28.66
Czechia,12.14,16.32,15.7,16.08,14.29
Peru,46.97,48.02,46.37,38.69,35.27
Lithuania,30.47,33.6,31.44,33.83,32.83
Russian Federation,41.31,38.02,37.47,41.36,34.07
Nigeria,69.24,74.1,76.62,75.72,75.89
Sweden,17.0,17.56,16.2,15.76,14.5
Switzerland,69.56,68.78,65.57,66.28,65.01
Chile,62.52,57.32,52.53,51.05,46.59
Palau,23.67,28.35,30.31,33.6,34.1
Finland,23.21,21.39,20.75,21.51,19.47
Barbados,44.11,42.18,45.96,51.84,50.65
Lao People's Democratic Republic,56.69,53.6,54.83,49.73,42.59
Singapore,66.98,65.48,61.5,53.07,43.84
Slovakia,14.14,28.02,28.12,20.73,20.49
France,27.25,28.75,29.67,26.6,24.17
Saint Kitts and Nevis,55.57,57.52,61.18,59.88,48.37
Guinea-Bissau,63.79,55.77,55.28,66.77,66.33
Tajikistan,76.18,69.48,65.11,63.75,67.23
Guatemala,64.33,64.2,62.15,60.83,61.91
