Country,1960-1968,1969-1977,1978-1986,1987-1995,1996-2004,2005-2013,2014-2022
kos,,,,,,621831982.42,456770005.97
Costa Rica,69642221.87,74253334.47,274713332.71,273465553.28,30622222.04,57653333.03,170049996.69
Equatorial Guinea,,17937999.46,29508889.08,82903333.45,33981111.1,33194444.71,14606666.33
Panama,114195552.4,91262222.29,81200000.76,116512221.44,48542222.34,38905555.83,45086666.11
Trinidad and Tobago,54101249.66,23797778.02,14852222.28,20651111.23,10231111.04,8959999.96,
Kiribati,5726666.63,26391111.27,37920000.29,28335555.39,25362222.04,39488888.85,76449999.92
Türkiye,1372151102.7,720421122.23,1205893330.89,822796657.99,245161111.62,1623714447.02,2036078918.46
Sierra Leone,93807777.4,62061111.45,178560001.8,216002223.54,340554445.05,439305558.95,741173339.84
Guyana,80014444.14,75135556.12,66862223.1,118358889.69,124672222.56,114362223.31,106697778.07
Benin,79763333.02,155051111.01,234974446.61,383903337.27,383625552.71,571890004.48,726974450.01
Vanuatu,10228888.78,58801111.22,78069998.85,71613332.96,53804444.21,88213332.71,150526667.28
Peru,140441109.55,279643325.81,559472222.22,627757778.59,619293334.96,418147772.89,423641112.86
Albania,,,,253526256.92,445005559.29,341294447.16,299566664.59
"Korea, Republic of",1634884440.1,1407678894.04,210158889.0,3223333.2,-111077499.39,,
Nepal,97212222.63,161411109.08,417886667.89,547355560.3,481044436.98,664225558.81,1403708875.87
Egypt,1005032233.34,4677007805.72,4354183322.48,4999417860.24,2336977796.77,1648754448.78,3266027794.73
Djibouti,63306666.06,100134443.5,201971110.03,182245552.91,106698888.99,131427775.91,190385554.84
Myanmar,229584446.38,253598888.82,697012220.59,256427773.37,124316665.23,715345559.01,1732647800.02
South Sudan,,,,,,1037876678.47,1986348890.52
Cameroon,199287774.62,397397776.29,539317786.32,753964436.85,805239990.23,916226657.44,1150811123.32
Samoa,2702499.99,27592222.21,59595555.2,62962222.21,51018889.11,77538887.87,123951109.99
South Africa,,,,498390004.48,770677781.85,1138885545.52,1184999993.22
Mozambique,39568750.48,67285556.06,581161109.08,1694637790.26,1692949978.3,1943851128.47,2172117797.85
Gibraltar,9715555.58,26422222.35,30593333.03,8134444.47,122500.0,,
Kenya,512592212.25,512555548.77,1074156663.68,1334763319.23,676851108.13,1926345540.36,3006429985.89
Mexico,217542224.88,111501109.65,289121114.94,401665551.08,148015552.79,417110000.61,675513315.84
Bhutan,621666.66,4915555.55,35564444.54,75956666.31,86407778.42,99515555.49,142756665.97
