Country,2005-2008,2009-2012,2013-2016,2017-2020,2021-2023
Burkina Faso,3.5,3.5,3.62,3.75,3.5
Viet Nam,4.0,4.0,4.0,,
Uzbekistan,4.0,4.0,4.0,4.0,4.0
Kyrgyzstan,3.5,3.75,4.0,4.0,4.0
India,4.0,4.0,4.0,,
Guinea,3.0,3.25,3.5,3.62,3.5
Chad,2.62,2.5,2.5,3.12,3.5
Congo,3.0,3.38,3.5,3.0,3.0
Mozambique,3.62,3.75,4.0,3.75,3.5
Mongolia,3.62,3.88,4.0,4.0,
Solomon Islands,3.0,3.0,3.0,3.0,3.5
Papua New Guinea,2.5,2.5,2.5,2.5,2.5
Senegal,3.5,3.75,4.0,4.5,4.0
Madagascar,3.5,3.25,3.38,3.5,3.5
Benin,3.5,3.5,3.5,3.88,4.5
Haiti,2.5,2.5,2.88,3.38,2.67
Mali,3.5,3.38,3.0,3.0,3.0
Serbia,3.25,,,,
Yemen,3.0,2.88,2.88,2.0,2.0
"Tanzania, United Republic of",4.0,3.62,4.0,4.0,4.0
