Country,1977-1983,1984-1990,1991-1997,1998-2004,2005-2011,2012-2017,2018-2023
Slovenia,,,20976014000.0,25458920857.14,32315791285.71,33569080333.33,40261634333.33
"Bolivia, Plurinational State of",14377498636.36,13148398408.5,16643338200.0,20988231600.0,27081635157.14,36446883583.33,42727073576.19
Burundi,793292004398.57,1042972143320.0,1104520456628.57,1095096377685.71,1259680142857.14,1532866333333.33,1630344009766.67
"Palestine, State of",,,5061453400.0,6024683871.43,8541014285.71,12190733333.33,12821660000.0
Chad,,,,,3856610766666.67,5103560700000.0,5245020466700.0
Equatorial Guinea,,,,,6558072722216.67,6776025567816.67,4977645392533.33
Guinea,,18430444530906.94,22597661282142.86,29224719935142.86,34649236633714.28,46684679498333.34,69221823754166.66
Czechia,,2586461127000.0,2477312034714.29,2848238571428.57,3730215714285.71,4104372000000.0,4708639666666.67
Namibia,42206566475.5,45060360271.86,56280109314.29,70202080500.0,97976328228.57,128172654266.67,132398707084.7
"Moldova, Republic of",,,76346997400.0,78223874785.71,103153390200.0,127370236433.33,148898634183.33
Benin,,,,3422980199366.67,4550519921914.29,6084650007150.0,7164120081100.0
Egypt,1134994961037.37,1794278604339.84,2347994561000.0,3150221110314.29,4518025343100.0,5639456299550.0,7034138621471.63
Sierra Leone,3780286760.98,4151998665.5,3577979442.86,3848464685.71,5933766000.0,8949499166.67,9853391000.0
Congo,,,,,3869374498271.43,4948073900116.67,4358234933500.0
Gambia,,,,38874786600.0,41271662885.71,47080203716.67,60318004736.18
New Zealand,95520862142.86,114155454428.57,129593280571.43,164310983142.86,199873639285.71,230371092166.67,269969892800.0
Kuwait,,,,,37652714809.65,42904515118.44,43258735141.99
Serbia,,,2093815366666.67,2406427071428.57,3291074526728.57,3606858930183.33,4283470779783.33
Turkmenistan,,,6862726714.29,9284375857.14,17599600000.0,,
Afghanistan,,,,503053319166.67,771423524842.86,1215774850900.0,1204779396680.0
Bermuda,,,,,6698262500.0,6073431666.67,6101793600.0
Belgium,192421824571.43,219301735571.43,251981308857.14,295031771428.57,340166385714.29,369136683333.33,401850866666.67
Brazil,1450212417433.91,1820884722667.89,2051917207142.86,2379864883071.43,3048781385485.71,3492856501983.33,3573419029966.67
Singapore,42840714285.71,69730085714.29,124775742857.14,179961457142.86,279101300000.0,392903650000.0,469380566666.67
