Country,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2006,2007-2007
Côte d'Ivoire,29.5,27.0,12.5,20.0,21.5,24.0,27.0
Kiribati,9.0,73.5,55.5,67.5,91.0,107.0,95.0
Libya,,134.0,112.0,162.0,171.0,188.0,200.0
Nicaragua,71.0,67.0,66.5,64.5,66.0,66.0,79.0
Mongolia,51.0,60.0,63.0,72.5,83.0,89.0,81.0
Cambodia,20.5,26.0,27.0,37.5,46.0,48.0,49.0
Belarus,,,,87.0,90.0,87.0,82.0
Kyrgyzstan,4.5,77.0,88.0,58.5,89.0,89.0,87.0
Honduras,,8.5,100.5,88.0,75.5,71.0,66.0
China,19.5,24.0,24.5,32.0,58.0,68.0,71.0
Somalia,22.0,25.0,33.0,41.5,59.0,54.0,49.0
"Micronesia, Federated States of",61.0,,68.0,88.0,86.5,90.0,127.0
Benin,40.0,42.0,43.0,35.5,41.0,44.0,
Tuvalu,,,,,65.0,50.0,97.0
El Salvador,45.0,44.0,42.5,45.0,52.5,55.0,59.0
Bahamas,,59.0,62.0,29.5,38.0,,31.0
Mauritania,,,,,29.0,26.0,28.0
Cuba,85.5,83.0,83.0,79.0,83.0,91.0,99.0
Palau,90.0,,,90.0,90.0,90.0,90.0
Hungary,,79.0,81.5,80.5,79.0,81.0,85.0
Nigeria,7.5,7.0,7.5,8.5,12.5,15.0,17.0
Papua New Guinea,1.0,18.5,22.0,41.5,58.0,52.0,31.0
Malawi,48.5,49.5,48.5,47.5,48.5,48.0,49.0
Bermuda,,,,0.0,,,
Algeria,123.0,,120.5,116.0,115.0,112.0,109.0
Egypt,7.5,25.0,51.5,62.0,66.5,60.0,60.0
Czechia,92.5,91.0,90.5,91.5,91.0,96.0,88.0
Nepal,6.0,25.0,52.0,58.0,62.5,62.0,63.0
