Country,1977-1984,1985-1992,1993-2000,2001-2008,2009-2015,2016-2022
"Korea, Republic of",0.1,0.5,0.74,1.06,2.09,2.59
Saint Lucia,0.0,0.0,0.0,0.0,0.06,0.3
Yemen,,,0.02,0.28,0.11,0.01
Sweden,0.82,2.94,6.08,7.41,3.55,5.47
Paraguay,0.02,0.0,0.04,0.13,0.4,0.34
Slovenia,,,0.11,2.26,0.16,1.61
United States,0.48,0.67,1.61,2.02,2.26,1.19
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.21,0.28
Grenada,0.0,0.0,0.0,0.0,0.38,0.73
Bangladesh,0.0,0.0,0.01,0.05,0.16,0.01
Mexico,0.01,0.09,0.02,0.37,1.14,0.59
Australia,0.35,1.32,0.92,1.76,0.84,1.38
"Moldova, Republic of",,,0.01,0.12,0.23,0.2
Myanmar,0.0,0.0,,,0.0,0.0
Guinea-Bissau,0.0,0.0,0.18,-0.1,0.08,0.02
Indonesia,0.01,0.08,0.16,0.67,0.89,0.18
Papua New Guinea,0.17,-0.05,-0.08,0.52,0.36,2.02
Gabon,0.22,0.28,3.14,-0.2,2.02,-0.2
Iceland,0.0,0.03,1.13,16.22,-2.35,-5.59
Zimbabwe,0.01,0.07,0.21,0.05,0.26,0.05
