Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2019,2020-2021
Kyrgyzstan,,,,,,,,53.89,64.62,51.49,62.16
Belgium,,125.58,125.81,111.23,102.43,88.05,94.91,105.97,107.54,102.37,113.64
Georgia,,61.05,49.74,58.44,43.4,21.92,29.99,29.15,38.11,41.47,59.96
Morocco,73.4,70.78,59.74,55.44,51.07,45.72,47.32,,,,
"Congo, The Democratic Republic of the",177.29,168.91,197.89,,,,,,,,
Malta,52.24,68.22,,,,,,,,,
Mongolia,20.62,43.32,58.56,77.14,,,,,,63.4,70.75
Germany,20.93,,,,,,,,,,
Spain,35.76,50.9,64.16,55.86,45.31,34.46,52.2,91.9,106.49,110.01,137.1
South Africa,34.4,43.21,44.02,40.91,,,,,54.22,61.85,74.8
Uganda,,,,,,,,,,36.58,47.74
Singapore,79.57,71.98,75.57,88.55,103.3,85.51,104.2,102.29,107.24,119.29,150.85
Israel,122.02,105.49,95.81,88.6,,,,,,,
Cameroon,47.73,87.13,84.81,79.46,,,,,,,
Solomon Islands,,,,,,,13.93,10.14,7.13,7.71,11.46
Armenia,,,,,,,,,,50.03,61.74
Romania,,,29.48,28.79,24.07,17.41,33.21,43.51,45.59,42.96,56.6
United Arab Emirates,,,,,,,,1.85,,,
Namibia,,,,,,117.52,,,,,
Tajikistan,,,,96.94,,,,,,,
Bangladesh,,,,31.46,31.53,,,,,,
Bosnia and Herzegovina,,,,,,,45.83,50.73,49.8,44.46,46.2
Saint Kitts and Nevis,,,,,87.97,91.4,102.88,73.88,,,
Greece,,,108.86,117.35,124.61,125.85,132.26,181.04,194.26,210.65,245.36
United Kingdom,29.93,54.78,88.91,86.52,88.42,97.12,132.86,146.43,155.27,159.24,191.73
Burkina Faso,,,,,,,,,,46.32,64.56
Seychelles,,,,,,174.68,84.61,64.77,60.91,,
Sudan,,,7.87,8.66,,,,,,,
Peru,115.87,63.05,,,,29.05,23.6,19.06,23.77,26.13,35.01
Papua New Guinea,46.81,50.51,61.47,63.18,69.73,,,26.89,32.1,38.41,50.63
