Country,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
ant,15.88,10.88,9.89,,,,
Pakistan,0.19,0.33,0.4,2.09,5.16,3.19,
Cambodia,0.99,0.69,0.84,0.48,0.76,,0.96
Ghana,3.98,4.5,,1.89,5.65,3.84,
Anguilla,,,,,,,
Macao,3.25,2.26,1.57,1.11,1.47,1.34,1.68
Hungary,7.15,8.85,10.07,8.15,5.55,3.85,3.68
Comoros,,,,10.69,,,
"Virgin Islands, British",,,,,,,
Peru,4.05,3.59,2.87,3.04,2.89,3.12,4.88
Togo,3.37,,1.62,,1.2,2.38,
Suriname,,12.32,10.44,9.38,9.36,,
Thailand,0.63,0.61,0.29,0.18,0.34,0.45,0.56
Japan,4.07,4.64,4.29,3.78,3.19,2.58,2.46
Sweden,5.37,5.75,5.79,6.0,5.55,5.23,6.36
Cook Islands,,,6.99,,0.95,,1.02
Mozambique,,,,,2.85,,
San Marino,,6.38,,,10.14,,
South Sudan,,11.83,,,,,
Saudi Arabia,9.09,10.0,16.02,16.64,18.23,19.09,18.34
Finland,6.53,5.92,5.61,6.41,7.44,6.47,5.34
Guyana,,,,,,11.72,
Grenada,,,,,,,
Panama,,5.63,2.17,2.58,3.28,4.04,14.64
