Country,1960-1969,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2023
"Bolivia, Plurinational State of",0.93,0.77,0.75,0.8,1.01,1.01,1.02
American Samoa,0.48,0.4,0.51,0.59,0.69,0.73,1.04
chanisl,3.26,3.29,3.68,3.44,3.3,3.29,3.36
Monaco,4.62,5.09,5.01,4.83,5.07,5.32,6.06
Cayman Islands,1.7,1.38,1.5,1.34,1.08,1.06,1.3
United Arab Emirates,0.41,0.45,0.31,0.26,0.2,0.1,0.36
Chile,0.67,0.85,1.07,1.34,1.91,2.22,2.34
Sint Maarten (Dutch part),1.68,0.63,0.71,0.63,0.67,0.66,1.37
Netherlands,1.98,2.42,2.92,3.1,3.34,3.35,3.9
Turkmenistan,0.97,0.82,0.99,0.85,0.93,1.01,0.86
Saudi Arabia,0.63,0.57,0.56,0.49,0.49,0.41,0.51
Palau,0.76,0.95,1.14,1.44,1.47,1.27,1.92
El Salvador,0.62,0.56,0.57,0.69,1.06,1.42,1.71
Viet Nam,1.03,1.14,1.24,1.28,1.46,1.68,1.59
Sao Tome and Principe,0.88,1.05,1.01,0.84,0.87,0.87,0.84
Afghanistan,0.4,0.41,0.39,0.37,0.4,0.44,0.48
Senegal,0.45,0.43,0.49,0.57,0.62,0.65,0.67
Saint Vincent and the Grenadines,0.99,1.24,1.46,1.46,1.64,1.82,1.85
Estonia,2.76,3.09,3.41,3.0,4.01,4.8,4.83
