Country,1990-1996,1997-2002,2003-2008,2009-2014,2015-2020
Malawi,848.01,888.99,907.56,1061.68,1433.46
Mauritania,932.56,1119.27,1523.08,2207.07,3391.17
Denmark,61076.39,56790.53,54139.43,42192.22,32069.25
Rwanda,481.25,597.75,681.86,792.06,1286.74
Oman,16026.73,24106.95,36122.55,55707.18,72685.63
Lebanon,9816.08,16469.63,17082.07,22634.62,26622.58
Guyana,1286.79,1688.6,1552.13,1876.31,2530.64
Tunisia,16295.26,20371.93,24053.33,28284.53,30674.82
Tonga,87.14,100.38,123.35,116.77,130.08
Malaysia,74946.33,119391.27,172398.28,208084.65,237412.6
Finland,56290.33,59004.13,63939.82,52931.97,42207.27
Jamaica,8209.0,9888.5,10907.9,7408.47,7447.02
Brazil,221813.3,303947.32,338804.67,436487.17,445066.97
"Venezuela, Bolivarian Republic of",107931.37,131735.65,143964.02,169585.83,127258.38
Brunei Darussalam,3978.76,4703.82,6364.38,7327.73,7473.7
El Salvador,3791.06,5671.15,6966.18,6635.72,6933.58
