Country,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Monaco,3.0,3.0,3.0,3.0,3.0
Chad,3.0,3.0,3.0,3.0,3.0
Morocco,,,5.0,5.0,5.0
Israel,,,6.0,6.0,6.0
Uganda,3.0,3.0,3.0,3.0,3.0
South Africa,7.0,7.0,7.0,7.0,7.0
Czechia,3.0,3.0,3.0,3.0,3.0
Burundi,3.0,2.6,2.0,2.0,2.8
New Zealand,4.0,4.0,4.2,5.0,5.0
Armenia,4.0,4.0,3.4,3.0,3.0
Malaysia,2.0,2.0,2.0,2.0,2.0
Jamaica,,,6.0,6.0,6.0
"Micronesia, Federated States of",3.0,3.0,3.0,3.0,3.0
Bahamas,2.0,2.0,2.0,2.0,2.0
Denmark,,,6.0,6.0,6.0
Sint Maarten (Dutch part),,,6.0,6.0,6.0
Spain,,,6.0,6.0,6.0
Guyana,2.0,2.0,2.0,2.0,2.0
Germany,,,6.0,6.0,6.0
Eswatini,3.0,3.0,3.0,3.0,3.0
Latvia,6.0,6.0,6.0,6.0,6.0
Bulgaria,4.0,4.0,4.0,4.0,4.0
Oman,,,6.0,6.0,6.0
Senegal,6.4,3.0,3.0,3.0,3.0
Kenya,3.0,3.0,3.0,3.0,3.0
"Bolivia, Plurinational State of",2.0,2.0,2.0,2.0,2.0
Syrian Arab Republic,3.0,3.0,3.0,3.0,3.0
"Iran, Islamic Republic of",1.0,1.0,1.0,1.0,1.0
