Country,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Israel,43.31,43.95,43.07,44.32,44.69,45.41,42.94,43.1
Canada,60.0,59.17,57.58,58.09,58.38,58.67,54.91,58.17
United States,52.23,47.42,45.15,46.55,48.48,50.11,48.21,50.12
nld_curacao,,,,,,16.79,14.71,
Tonga,,,,,,19.44,,22.8
Zambia,,,,,15.6,24.85,32.26,30.3
Malawi,66.85,,56.87,58.84,,48.67,52.26,
Liechtenstein,46.04,45.84,46.92,44.96,44.95,,,
Palau,,,,25.25,,,23.54,
Mauritania,,,14.02,,,10.33,11.76,
Colombia,29.16,29.19,31.88,32.54,32.36,30.73,27.28,27.59
Iraq,5.57,,4.02,3.5,5.4,1.8,,2.58
Finland,44.87,42.14,41.98,43.4,43.11,44.61,43.23,45.47
Sri Lanka,,18.87,17.42,16.89,17.39,16.37,14.15,12.31
Paraguay,36.91,38.57,39.55,38.82,36.78,37.4,35.67,37.62
Brunei Darussalam,,,,23.89,,24.4,23.68,24.26
Tajikistan,,20.64,,,20.35,,,
Australia,62.84,61.31,59.83,58.36,58.78,59.54,59.27,64.78
Syrian Arab Republic,,5.57,,,,,,
Tuvalu,,,,,14.25,16.45,,18.77
Algeria,,5.52,,4.99,4.61,5.15,,
"Venezuela, Bolivarian Republic of",26.35,25.39,22.73,,19.61,25.73,23.82,
Thailand,39.52,37.86,37.74,33.97,32.91,32.06,31.4,30.36
Hong Kong,,34.57,34.44,36.48,37.89,38.03,34.68,30.41
Mexico,31.96,30.19,30.03,29.07,28.5,28.47,27.98,29.93
Brazil,41.83,41.76,39.61,38.27,34.61,33.31,31.68,35.0
