Country,1977-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2015,2016-2019,2020-2023
South Sudan,,,,,,,,10.96,7.28,0.87
Macao,,,,,,87.93,92.8,94.71,93.07,79.79
Bahamas,84.1,88.24,90.7,89.7,90.08,85.62,86.66,87.4,92.27,85.96
"Micronesia, Federated States of",,,,,,,75.63,77.26,,
Philippines,25.69,28.84,19.09,16.95,31.61,29.47,21.01,19.47,20.44,9.12
South Africa,56.7,59.01,59.49,55.23,54.82,64.21,58.88,55.64,54.16,33.46
Rwanda,,,,,,,76.42,71.64,63.64,53.96
Burundi,,,49.98,38.89,25.32,27.77,31.93,11.11,14.76,
India,47.03,33.38,37.14,41.01,24.23,15.68,12.19,12.71,14.26,6.63
Samoa,54.15,59.43,62.92,59.52,76.93,64.52,69.09,72.5,71.37,47.33
Costa Rica,51.81,50.04,47.09,56.63,49.81,57.93,49.51,42.05,40.25,24.84
Antigua and Barbuda,98.29,92.07,75.98,72.92,71.53,78.86,75.7,76.7,77.68,77.83
kos,,,,,,47.17,55.73,76.25,81.88,73.94
"Bolivia, Plurinational State of",46.81,37.86,44.31,38.88,23.8,35.33,41.27,53.77,57.57,52.5
Sudan,15.74,15.5,20.23,12.28,15.31,72.76,66.03,72.07,64.32,64.14
Tuvalu,,,,,61.11,58.74,69.63,72.78,70.76,28.86
Ireland,,,,,,8.52,5.84,3.71,3.06,1.36
Grenada,89.52,88.9,77.3,75.58,70.16,79.83,87.48,90.36,90.9,63.19
Israel,38.12,34.83,32.16,36.5,29.95,17.46,18.37,16.29,14.11,5.26
Cyprus,55.93,64.55,68.6,64.1,51.89,42.48,26.63,25.88,23.03,10.34
