Country,1967-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Cyprus,3.41,3.75,3.49,3.71,4.21,5.23,5.77,5.53,7.64,12.21,13.58
Hungary,8.37,9.66,10.82,11.41,11.8,11.35,10.13,9.88,9.75,11.46,11.07
Tunisia,15.27,15.12,12.24,,5.37,8.56,10.21,9.52,8.27,9.36,8.98
"Palestine, State of",,,,,,5.67,5.14,5.64,5.18,5.27,4.99
Iraq,3.66,10.24,13.27,14.91,10.96,15.02,,5.79,3.83,3.46,3.63
Poland,7.52,8.51,7.53,5.63,6.78,7.47,7.11,7.52,7.89,7.29,6.62
Eritrea,,,,,18.03,14.7,7.34,7.55,7.44,,
Senegal,,7.17,8.43,7.33,12.54,23.08,27.59,16.15,18.07,10.34,19.67
Kyrgyzstan,,,,,,0.35,0.67,1.03,0.94,0.98,0.57
Cambodia,,,,,,0.7,0.13,,,,
Macao,,,0.49,0.61,1.1,1.07,1.28,0.61,,,7.05
Trinidad and Tobago,2.11,2.89,4.04,3.95,20.23,32.37,24.61,33.97,,,
Saudi Arabia,,,,,38.77,,42.24,34.88,25.67,28.0,25.84
Yemen,,,,,,,2.3,1.82,1.46,1.59,
Gabon,5.8,4.64,5.19,,7.3,5.84,,,,,
Maldives,,,,,,,,,,0.04,
Botswana,,,1.95,5.03,8.23,4.95,,,,9.01,10.6
Georgia,,,,,,,5.98,10.12,9.84,9.85,9.42
Lebanon,,,,,,,5.64,7.64,9.53,9.5,12.61
kos,,,,,,,,,1.33,1.12,0.98
Albania,,,,8.59,8.01,,4.51,11.26,10.28,3.45,2.19
Uzbekistan,,,,,,,,,,7.92,8.78
Ecuador,7.99,6.93,7.81,8.38,8.14,10.97,5.55,4.21,6.0,7.3,9.92
Central African Republic,,3.76,10.3,6.82,7.19,9.25,,,,,
