Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2016,2017-2019
Hong Kong,33.95,37.07,,,,,,
Grenada,51.25,52.5,48.82,50.81,56.1,63.39,67.37,71.54
Morocco,29.35,32.32,34.68,38.39,42.1,45.49,48.31,51.44
Mongolia,12.94,14.7,16.23,17.44,17.75,17.53,16.85,17.6
Mauritania,21.59,21.51,22.08,22.38,23.19,24.45,25.18,26.34
Greenland,52.69,61.7,61.89,54.36,48.8,45.36,44.74,45.12
Zimbabwe,24.65,22.52,26.9,33.58,36.66,36.08,37.01,37.57
New Zealand,106.94,104.21,100.51,100.24,100.46,99.7,101.39,101.6
Oman,20.91,26.84,32.81,38.98,45.3,46.79,44.43,44.49
"Moldova, Republic of",40.23,40.64,36.45,39.43,42.45,41.38,44.25,39.86
Timor-Leste,16.03,15.82,15.73,15.9,17.42,20.6,23.46,24.64
Nicaragua,14.42,17.84,19.56,21.97,24.8,28.56,31.11,32.55
Comoros,17.46,19.49,20.39,21.04,21.69,22.77,26.12,26.63
Iraq,29.97,31.9,33.39,35.61,39.11,44.47,47.79,50.77
Cuba,51.14,50.91,50.6,52.57,55.78,56.78,58.42,59.92
Philippines,36.14,38.57,36.71,34.31,32.83,35.91,38.92,40.22
"Venezuela, Bolivarian Republic of",30.35,34.67,36.99,41.1,44.08,47.9,52.61,52.49
Nepal,17.24,17.82,18.42,19.87,21.88,24.1,26.25,28.19
Guinea-Bissau,20.99,21.94,22.89,24.61,26.52,27.95,28.93,29.41
Kiribati,38.56,40.14,42.19,42.99,43.96,44.34,43.98,45.63
Sri Lanka,14.59,16.26,17.52,19.15,22.56,25.84,28.09,29.43
Bulgaria,51.61,45.91,46.46,55.82,67.39,73.29,78.74,78.28
India,13.98,15.14,16.16,16.21,17.02,18.65,21.17,22.56
Montenegro,60.3,65.03,71.27,76.78,82.25,84.92,86.7,86.31
Tonga,44.0,46.97,50.6,48.92,48.62,51.14,52.63,54.82
