Country,1968-1979,1980-1987,1988-1995,1996-2004,2007-2013
Georgia,,2.62,2.33,3.57,0.83
United Kingdom,1.86,1.22,1.41,0.96,0.43
Puerto Rico,28.17,27.35,35.39,,
Hungary,1.65,1.96,2.14,1.39,0.76
Slovenia,,1.3,1.55,1.36,0.5
Panama,3.99,6.39,,,
Tunisia,,,,,0.1
Lithuania,,6.33,9.42,8.27,3.41
Kazakhstan,,9.85,17.25,17.0,5.99
Barbados,6.53,6.7,13.54,,
French Guiana,9.12,,,,13.27
North Macedonia,,,1.89,3.53,1.27
Saint Kitts and Nevis,,,21.14,,
Denmark,0.81,1.36,1.38,1.08,0.93
Hong Kong,2.77,1.63,1.71,0.96,0.28
Belize,,,2.03,,
Dominica,6.18,7.13,,,
Cuba,6.94,,12.22,10.79,
Türkiye,,,,,1.81
France,0.95,1.17,1.02,0.81,0.74
Honduras,0.71,,,,
Colombia,34.74,66.74,149.76,,
New Zealand,1.56,2.69,2.87,2.23,1.69
Bulgaria,2.77,3.47,4.76,3.56,1.32
