Country,1999-2002,2003-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Eswatini,,,16.85,7.38,11.13,10.51,9.31
Panama,3.77,,2.52,3.39,8.41,12.78,9.18
Australia,3.48,1.2,,2.86,,0.27,0.5
Central African Republic,,50.54,36.07,33.06,,5.51,
"Micronesia, Federated States of",,,,,13.41,10.19,14.97
Uganda,,,6.61,7.91,8.8,12.55,
Bahamas,20.81,17.09,17.33,18.26,,,
Philippines,10.43,12.01,11.87,,6.71,8.04,8.46
Cuba,,0.68,0.96,1.85,1.93,2.8,2.32
Norway,0.69,0.85,0.33,0.31,0.38,0.7,0.98
Zimbabwe,3.58,5.21,,4.19,8.4,14.62,14.29
Saudi Arabia,,,17.67,,7.01,,3.27
Uzbekistan,,,4.44,4.55,2.11,,1.02
Samoa,7.32,,6.6,4.46,1.9,,4.16
Nepal,25.85,15.19,,,,,
