Country,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Malta,3.1,16.52,17.23,19.53,18.34,23.37,38.36
Sudan,11.18,5.9,8.31,9.39,32.78,21.09,5.47
Puerto Rico,9.07,6.0,16.08,25.28,32.27,30.39,24.1
Thailand,22.29,22.4,29.99,35.85,31.56,31.17,31.12
Cyprus,1.32,15.71,22.18,22.84,21.68,15.57,20.84
Belarus,,,31.1,23.2,24.66,33.09,29.91
Uzbekistan,,,,20.91,29.17,26.34,23.36
Sweden,28.53,23.77,26.5,25.31,28.64,27.84,29.52
Mongolia,,25.67,18.3,32.12,21.54,30.34,30.13
Tajikistan,,,,33.56,2.92,-17.71,9.07
Philippines,,30.53,22.72,17.49,17.17,17.73,12.44
Pakistan,11.51,8.36,11.84,15.3,12.76,8.48,6.26
Cambodia,,,,-0.43,11.43,15.09,27.83
Germany,25.3,20.6,22.61,24.53,25.29,26.11,27.79
Paraguay,15.23,20.84,27.49,26.04,30.09,25.2,24.09
Samoa,,,,,,11.37,10.31
Brunei Darussalam,73.58,83.52,50.39,36.32,52.41,62.46,53.28
Bahamas,,26.18,23.3,23.67,31.17,24.63,20.41
Nepal,10.03,11.34,10.61,13.07,10.87,9.02,9.1
New Zealand,22.61,23.16,23.77,24.12,25.13,22.83,22.97
