Country,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2017,2018-2018,2019-2019
Poland,92.06,91.55,91.68,92.73,93.71,93.49,91.42,92.99
Ethiopia,,68.41,65.88,62.8,,,,
Hungary,94.12,90.6,93.28,93.32,93.12,89.9,86.49,89.32
Uruguay,,,95.37,95.84,96.04,96.82,96.35,96.35
Botswana,,90.24,,,,,,
Philippines,90.89,91.78,,,,,,
Austria,96.25,95.45,95.97,95.23,94.13,93.31,92.89,93.14
Sierra Leone,97.76,98.69,98.94,99.47,,,,
Albania,,,,91.41,91.79,91.7,93.88,86.84
Zambia,,,,,87.83,,,
Ukraine,,,96.68,97.64,91.59,92.3,93.39,93.5
Namibia,,99.17,,92.58,,,,
Czechia,89.67,89.38,89.07,89.58,93.35,91.24,87.39,89.0
Aruba,100.0,92.77,100.0,100.0,100.0,,,
Malaysia,90.93,84.5,91.95,92.35,93.16,92.09,93.36,92.38
Luxembourg,,,87.54,87.99,90.15,91.12,90.63,88.77
Cabo Verde,84.09,92.74,,,95.71,,,
Brunei Darussalam,,,,,96.77,,,
Iceland,91.1,92.79,94.38,94.3,94.98,95.42,93.89,94.27
Liechtenstein,100.0,87.37,94.6,,,,,
Cayman Islands,,,,,,,,
