Country,1999-2001,2002-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018
Sierra Leone,,,,10.18,,15.06,13.78,9.57,3.84
Slovakia,2.09,2.31,2.45,2.58,2.94,2.7,2.73,2.97,3.13
Kyrgyzstan,0.18,0.08,0.07,0.07,0.06,0.05,0.03,0.04,0.02
Guinea,24.16,18.13,9.01,12.7,16.88,14.46,14.1,12.01,
Philippines,1.41,1.5,1.71,1.58,1.78,,0.86,0.38,0.87
Monaco,0.0,,,,0.0,,1.84,0.4,1.67
Tunisia,14.33,7.02,5.68,6.09,4.76,,5.28,4.17,8.13
Czechia,0.95,0.91,0.72,0.51,0.54,0.48,0.48,0.46,0.43
Belize,8.3,8.39,9.53,7.41,6.49,6.42,5.64,5.78,5.24
Solomon Islands,,,,,,7.58,6.58,9.99,5.76
Malaysia,,,,,,,,,
"Tanzania, United Republic of",2.79,3.94,5.45,4.18,2.27,2.53,3.34,4.22,1.71
Botswana,2.63,3.15,3.59,3.69,3.58,3.52,3.77,,
Saint Vincent and the Grenadines,7.88,7.02,3.01,3.89,3.44,3.6,2.73,2.46,1.7
Mauritius,3.64,3.91,3.91,3.19,2.93,2.97,1.09,0.68,0.26
Iraq,9.6,6.53,,14.35,,,,,
