Country,1970-1979,1980-1988,1989-1997,1998-2006,2007-2015
Sao Tome and Principe,1.25,1.73,2.34,3.13,4.04
Suriname,3.76,4.83,6.04,7.39,8.84
"Iran, Islamic Republic of",1.26,2.14,3.66,5.21,6.65
Peru,4.09,5.33,6.72,8.17,9.64
Ukraine,7.56,9.31,11.02,12.63,14.08
Gambia,0.6,0.82,1.1,1.47,1.94
Norway,8.45,10.07,11.64,13.12,14.45
Serbia,6.05,7.48,8.95,10.49,12.01
Haiti,1.28,1.76,2.39,3.18,4.13
Guatemala,1.83,2.43,3.14,4.0,5.04
Malta,5.89,7.03,7.95,9.1,10.51
Maldives,2.19,2.82,3.48,4.23,5.2
Azerbaijan,6.92,8.41,9.81,11.14,12.47
Algeria,1.19,1.65,2.25,3.0,3.89
Bahrain,2.4,3.6,5.38,7.19,8.72
Uzbekistan,6.91,8.4,9.79,11.08,12.39
Hungary,7.87,9.25,10.49,11.8,13.14
"Micronesia, Federated States of",5.65,7.02,8.43,9.89,11.36
Afghanistan,0.18,0.25,0.34,0.47,0.65
