Country,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Ireland,0.07,0.27,0.43,0.43,0.13,0.1
Greece,0.5,0.47,1.1,1.2,0.57,0.65
Spain,0.73,0.53,0.87,0.83,0.83,0.6
Madagascar,54.0,,60.45,,,
Togo,44.6,,44.7,41.7,23.0,22.0
Iceland,0.07,0.1,0.07,0.03,0.0,
Nicaragua,9.3,7.9,,4.0,,
Uganda,42.1,34.6,29.3,,32.4,32.1
Indonesia,23.7,20.7,15.33,11.4,7.97,5.65
Türkiye,,,,,0.45,0.5
Comoros,13.2,,,16.1,,
Seychelles,,,,1.1,0.4,
Central African Republic,,47.4,,,,49.4
Bhutan,,7.2,2.6,,1.9,
Djibouti,,,17.7,19.8,16.5,
Lebanon,,,0.0,,,
Romania,6.7,3.9,4.63,5.33,2.73,1.55
Grenada,,,,,0.3,
Maldives,,4.8,,,0.0,0.0
Senegal,31.9,,32.2,,10.7,10.3
Austria,0.1,0.43,0.43,0.37,0.47,0.5
"Korea, Republic of",0.3,0.3,0.35,0.2,0.1,
Italy,0.6,0.73,1.1,1.4,1.37,0.8
Burkina Faso,,38.8,,30.3,25.2,21.9
Cameroon,,24.5,,20.1,,18.4
"Moldova, Republic of",7.17,1.43,0.57,0.13,0.13,0.1
Denmark,0.2,0.2,0.0,0.2,0.17,0.15
Côte d'Ivoire,,28.1,,27.2,12.0,10.9
