Country,2004-2007,2008-2011,2012-2014,2015-2017,2018-2020
"Iran, Islamic Republic of",62.5,57.5,53.33,63.33,66.67
Niger,45.0,32.5,43.33,40.0,43.33
Turkmenistan,25.0,35.0,30.0,30.0,30.0
Belarus,87.5,90.0,90.0,90.0,90.0
El Salvador,70.0,67.5,80.0,80.0,86.67
Maldives,63.33,60.0,70.0,53.33,66.67
Eswatini,27.5,40.0,36.67,43.33,43.33
Georgia,60.0,80.0,90.0,90.0,90.0
Guinea-Bissau,17.5,20.0,30.0,30.0,23.33
Grenada,46.67,35.0,40.0,33.33,46.67
Argentina,90.0,90.0,86.67,90.0,66.67
Russian Federation,77.5,85.0,73.33,86.67,90.0
Viet Nam,50.0,35.0,40.0,60.0,60.0
Cameroon,50.0,55.0,40.0,46.67,36.67
Ecuador,87.5,80.0,73.33,76.67,63.33
Malaysia,75.0,77.5,63.33,70.0,80.0
