Country,1991-1994,1995-1998,1999-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023
Mauritania,9.87,9.73,9.97,9.68,9.47,10.06,9.94,10.24,10.62,10.73
Serbia,13.46,13.53,13.22,18.18,17.53,19.43,21.79,15.46,10.71,9.14
Hong Kong,1.9,3.21,5.88,6.73,4.11,4.34,3.33,3.28,3.84,4.47
Tunisia,15.91,15.96,14.77,13.87,12.44,14.89,15.94,15.35,16.73,15.64
Saudi Arabia,7.11,5.59,4.7,5.81,5.69,5.57,5.7,5.7,6.37,5.7
"Venezuela, Bolivarian Republic of",8.08,11.08,14.43,14.17,7.38,6.7,6.99,5.5,6.29,6.1
Macao,2.44,3.92,6.47,5.02,3.36,2.99,1.82,1.91,2.05,2.32
Iraq,8.47,8.37,8.27,8.77,8.52,8.29,9.25,11.56,14.48,15.76
Belgium,7.85,9.27,7.08,7.83,7.56,7.78,8.16,7.8,5.62,5.78
Philippines,3.84,3.67,3.71,3.63,3.74,3.68,3.53,2.77,2.37,2.74
Slovenia,7.91,7.02,6.47,6.34,5.05,7.1,9.55,7.85,4.85,4.13
Kazakhstan,2.64,12.52,11.49,8.44,7.23,5.9,5.18,4.93,4.85,5.09
Sierra Leone,4.22,4.21,4.09,3.67,4.02,4.42,4.59,4.26,3.29,3.29
Montenegro,30.21,29.95,30.26,30.31,20.46,19.5,19.15,17.12,16.07,15.7
Mongolia,5.78,5.6,6.03,6.88,6.65,5.73,4.31,6.15,7.08,6.7
Paraguay,4.89,5.33,7.14,6.05,4.8,4.9,4.5,5.32,6.79,6.61
Turkmenistan,2.28,10.45,11.36,8.36,5.71,4.0,4.0,4.03,4.2,4.23
Chad,0.68,0.73,0.78,0.69,0.82,0.89,0.92,1.04,1.3,1.23
South Africa,20.21,19.74,19.79,19.64,19.44,21.7,22.14,23.63,24.7,28.53
Afghanistan,7.96,7.94,7.95,7.92,7.92,7.91,7.91,10.1,11.38,13.47
Luxembourg,2.33,2.87,2.29,4.43,4.62,4.8,5.61,6.16,5.98,5.01
Greece,9.12,10.8,11.15,10.18,8.31,13.41,26.38,23.3,17.37,12.69
Djibouti,27.24,27.45,26.84,26.62,26.42,26.43,26.23,26.05,26.69,26.72
