Country,1971-1981,1982-1992,1993-2003,2004-2013,2014-2023
Kazakhstan,,-10.25,2.88,2.75,1.08
Benin,8.59,7.26,4.71,7.89,5.18
Mexico,11.84,6.36,8.91,5.42,3.05
Cuba,5.83,0.52,3.57,11.78,-6.86
Ecuador,20.1,6.06,2.95,3.78,1.95
Mali,7.14,4.63,11.42,1.06,3.32
South Africa,0.32,2.14,4.78,2.68,1.43
Guam,,,-16.06,2.13,6.03
"Korea, Republic of",22.44,11.67,13.49,9.88,2.73
Kenya,0.83,4.82,3.64,5.33,-0.01
Seychelles,-12.94,13.59,5.67,7.64,5.07
Türkiye,,7.09,10.41,6.75,5.3
kos,,,,15.17,12.8
Congo,6.66,4.46,3.62,0.86,1.58
Solomon Islands,-1.89,4.99,5.53,9.93,-2.54
Cambodia,,,25.39,14.75,8.29
"Iran, Islamic Republic of",-8.37,16.01,1.48,-1.29,4.43
Bulgaria,5.9,-9.16,3.28,8.69,4.02
