Country,1996-2000,2001-2005,2006-2010,2011-2014,2015-2018,2019-2022
New Zealand,-8.96,20.7,3.46,10.38,4.52,4.84
Türkiye,60.47,26.38,25.88,2.96,-12.85,21.83
Austria,-4.14,30.64,7.86,-3.62,8.71,1.8
Saudi Arabia,7.75,50.31,6.05,4.4,-18.77,8.09
Mauritius,-4.85,14.61,28.29,1.84,1.31,-4.68
Sri Lanka,-12.64,14.13,59.34,-2.01,-12.88,-9.57
Mexico,16.76,23.71,18.25,0.65,-7.58,4.86
Bahrain,3.5,15.18,5.69,5.28,1.24,14.49
Ireland,17.13,12.04,-2.26,15.47,4.92,6.89
Kuwait,,,13.52,-7.84,0.09,11.44
Poland,11.96,17.36,11.34,-3.15,3.09,-6.38
Czechia,-1.75,39.9,11.58,-11.1,2.47,5.2
Nigeria,-13.55,25.39,31.79,5.43,-12.37,-6.09
Viet Nam,,,-2.5,1.43,10.73,3.07
Hong Kong,8.83,5.78,19.76,2.55,1.98,-1.68
Russian Federation,55.86,46.68,27.76,-16.59,11.13,-2.68
Australia,3.9,17.1,16.9,-2.67,-1.33,5.69
Sweden,20.93,9.01,17.35,4.14,-0.07,8.86
Portugal,18.44,3.98,6.14,-9.76,0.18,3.83
China,10.21,10.98,33.56,1.45,4.37,0.72
Ukraine,4.37,50.76,32.72,-28.28,10.91,-7.89
Romania,-43.19,54.38,6.89,3.44,1.57,6.39
Kenya,-8.19,50.14,13.23,15.83,-6.81,-2.44
Argentina,3.17,23.67,31.06,-0.94,8.7,26.84
