Country,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2021,2022-2023
Albania,3.71,,,,,,
Fiji,,,,,,3.45,3.46
Haiti,2.83,2.92,2.88,2.88,2.81,2.66,2.37
Congo,2.74,2.81,3.01,2.96,2.7,2.7,2.85
Nepal,3.4,3.3,3.31,3.39,3.41,3.4,3.39
Ghana,3.91,3.88,3.79,3.48,3.56,3.58,3.39
Uzbekistan,3.04,3.33,3.38,3.43,3.61,3.78,3.84
Marshall Islands,,,2.68,2.61,2.6,2.61,2.64
Côte d'Ivoire,2.5,2.73,3.04,3.29,3.45,3.6,3.78
Madagascar,3.6,3.53,3.1,3.17,3.27,3.25,3.25
Zimbabwe,1.74,1.74,2.23,2.74,2.85,3.0,2.98
Burkina Faso,3.71,3.76,3.77,3.63,3.54,3.52,3.44
Djibouti,3.09,3.14,3.12,2.99,3.09,3.16,3.1
"Moldova, Republic of",3.64,3.74,3.82,3.73,3.73,,
Nigeria,3.26,3.44,3.51,3.41,3.16,3.2,3.18
Afghanistan,2.55,2.66,2.67,2.69,2.68,2.66,1.69
"Micronesia, Federated States of",,,2.7,2.75,2.74,2.76,2.78
Mongolia,3.41,3.35,3.43,3.24,3.34,,
Solomon Islands,2.78,2.78,2.94,2.96,2.93,2.93,2.94
Sri Lanka,3.54,3.48,3.53,3.45,3.46,,3.09
