Country,1965-1975,1976-1986,1987-2001,2002-2012,2013-2023
Hungary,12.33,6.0,2.43,1.07,1.14
Greenland,,1.8,1.1,1.01,0.55
Tunisia,4.97,3.65,3.48,2.33,1.74
Togo,2.37,1.18,1.48,1.06,1.32
Saudi Arabia,1.82,1.12,1.03,0.77,0.74
Poland,,5.97,2.66,1.79,1.55
United States,5.34,2.67,1.83,1.14,0.97
Guatemala,1.7,1.66,1.53,1.24,1.57
Ethiopia,,,1.45,0.83,0.52
Bosnia and Herzegovina,,,,1.27,1.31
Tajikistan,,,0.7,,2.91
Solomon Islands,0.35,0.33,0.27,0.56,0.74
Brazil,1.96,1.45,2.57,1.43,1.04
Lao People's Democratic Republic,0.33,,,0.25,1.5
Iceland,2.88,2.66,1.55,1.29,1.08
Uzbekistan,,,,,2.51
Ecuador,2.61,2.28,2.56,1.19,0.88
Panama,0.57,0.53,0.57,0.34,0.24
Belgium,5.51,2.98,2.01,1.26,1.1
Kyrgyzstan,,,1.62,1.47,0.9
Côte d'Ivoire,0.69,0.54,1.24,0.68,0.58
Dominica,,2.17,1.94,1.83,1.77
Cambodia,1.64,,2.94,1.85,1.76
Montenegro,,,,0.67,0.63
Belize,0.48,0.4,0.82,0.68,1.52
Georgia,,,0.58,0.61,0.78
