Country,1970-1980,1981-1991,1992-2002,2003-2012,2013-2022
Bhutan,-32622636.94,-45632042.1,-60559485.16,-242270195.69,-472177189.44
Cameroon,-92584142.74,103785634.13,329476098.43,-397908134.05,-1198537377.18
Thailand,-739740544.16,-2083546251.01,2037043711.2,10547165517.47,29693053915.87
"Moldova, Republic of",,,-323448931.93,-1975066957.0,-2841686702.64
Lebanon,,-2492263647.89,-4614163692.39,-7509691474.03,-11856100518.96
India,-933516854.31,-3900276136.26,-4215326579.64,-57176242736.12,-68215990953.59
Seychelles,-49402844.08,-93832450.19,-162670726.01,-98359295.4,-170841368.68
Ukraine,,252297410.19,17421806.38,-4902916077.65,-9365569864.02
Slovenia,,1397266230.66,-192923669.55,77627169.45,3629371752.0
Honduras,-134041833.3,-382425718.39,-602088438.12,-2749125858.35,-4627540824.61
Colombia,229338443.24,579303089.3,-3572578259.29,-5108762380.62,-18107132012.83
Jamaica,-108812925.01,-172573106.49,-583750797.02,-2552909269.97,-2386653814.37
Japan,1878508076.07,39623249038.38,62544826912.13,34914571808.23,-41597646130.78
Russian Federation,,2371453602.24,30437156165.2,114392191833.93,133852828529.33
Germany,-12780402045.72,-13107756491.69,19008476715.23,175946912533.97,225529781957.13
Kyrgyzstan,,-288541666.67,-186180780.04,-1263179236.89,-2974389948.83
