Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
Tajikistan,42.95,48.41,48.67,45.24,44.11,43.91,41.61,38.83,36.24
Guatemala,49.61,48.96,49.64,45.74,43.66,43.51,42.87,41.4,42.12
Hungary,13.13,10.73,9.03,7.72,6.58,6.26,6.81,6.69,6.59
Czechia,8.88,7.11,6.25,5.65,4.58,3.86,3.83,3.79,3.55
"Venezuela, Bolivarian Republic of",18.39,17.84,15.16,15.23,14.28,12.75,11.79,11.35,11.81
Tunisia,21.34,20.69,19.54,18.54,18.19,17.72,16.97,16.27,15.83
Syrian Arab Republic,23.34,21.94,25.22,22.67,19.27,15.59,13.51,12.9,11.25
Ukraine,24.99,26.94,26.9,24.85,22.71,21.47,20.74,17.17,16.74
Mexico,26.28,25.62,23.27,21.76,19.67,19.47,19.47,19.24,18.3
Greece,19.28,17.87,15.74,13.27,11.05,11.56,13.02,13.36,12.49
Congo,40.57,40.73,40.47,39.63,38.49,37.32,35.77,34.7,34.94
Malawi,74.94,74.42,74.56,74.54,73.78,72.84,72.32,71.79,71.28
Cuba,31.62,31.61,33.53,30.22,26.3,24.98,26.04,25.3,24.11
Iceland,14.38,13.38,12.23,10.33,9.27,7.52,7.88,6.25,6.11
Switzerland,4.57,5.18,5.44,4.94,4.84,4.15,4.09,4.02,3.37
