Country,2004-2006,2007-2009,2010-2012,2013-2014,2015-2016,2017-2018,2019-2021
"Bolivia, Plurinational State of",2.47,3.1,3.6,3.7,3.8,4.2,5.2
Kenya,5.0,,,,6.2,,7.2
Eswatini,,4.0,,,3.7,,
Central African Republic,,3.3,,,,,5.6
"Congo, The Democratic Republic of the",5.7,,5.5,,,,
Romania,5.0,5.77,5.5,4.95,5.35,5.35,5.85
Mauritania,6.5,6.7,,7.5,,,7.8
Guyana,,,,,,,
Zambia,3.5,,4.1,,3.1,,
Syrian Arab Republic,6.1,6.3,,,,,
Spain,6.87,6.53,6.13,5.7,5.75,6.2,6.3
Slovakia,8.9,9.1,8.6,8.35,8.6,9.1,9.3
Latvia,6.4,6.13,6.37,6.55,7.0,6.85,7.1
Viet Nam,7.2,7.4,6.8,7.1,6.9,6.7,
North Macedonia,,4.1,4.33,5.7,5.6,5.85,5.8
