Country,1971-1980,1981-1990,1991-2001,2002-2011,2012-2020
United Kingdom,1.01,1.03,1.01,1.02,1.03
Nepal,,0.33,0.58,0.86,1.05
Ireland,1.1,1.11,1.07,1.07,1.05
Mozambique,0.46,0.46,0.6,0.74,0.92
Cabo Verde,0.93,0.96,1.03,1.14,1.12
Belize,,1.04,1.04,1.06,1.04
Armenia,,,1.1,0.99,1.05
Mongolia,1.05,1.1,1.26,1.12,1.01
Kiribati,0.72,0.97,1.17,1.17,
Fiji,1.0,1.04,1.05,1.08,1.03
Slovakia,,,1.03,1.01,1.01
Iceland,0.88,0.93,1.01,1.03,1.0
"Virgin Islands, British",1.3,1.28,1.09,1.06,1.08
Jordan,0.74,1.03,1.05,1.03,1.03
Lithuania,,,1.01,0.99,0.96
Brazil,,,,1.11,1.05
