Country,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2016,2017-2018,2019-2020,2021-2022
Mauritius,74.6,75.9,80.45,83.66,81.7,85.86,84.11,94.06,130.97
Central African Republic,,7.79,,8.29,11.32,8.83,10.97,,
Turkmenistan,,,,,,,,,78.75
Côte d'Ivoire,23.89,,27.83,29.89,32.1,35.28,46.05,52.52,56.67
Guinea-Bissau,12.58,,,36.95,,,,,
North Macedonia,91.81,91.52,90.8,86.2,,83.14,78.87,86.78,85.95
Bhutan,28.58,40.19,45.39,60.52,71.62,81.42,81.45,82.34,69.93
Denmark,,,98.16,97.17,98.91,99.86,100.18,101.77,100.27
United Arab Emirates,74.29,91.33,72.78,54.66,59.26,,,120.82,
El Salvador,63.52,71.8,70.68,74.58,77.49,75.04,71.26,,
Cabo Verde,,52.28,70.32,72.47,73.17,73.43,72.92,68.5,90.43
Saudi Arabia,,85.96,85.61,112.29,,101.27,104.63,99.45,108.48
Lao People's Democratic Republic,37.15,44.39,45.24,46.7,50.68,62.43,67.33,63.22,59.41
Pakistan,,28.68,34.36,34.76,37.93,40.55,42.21,43.64,47.47
Turks and Caicos Islands,77.97,85.69,,98.46,75.4,85.25,136.44,,96.89
Hungary,,,,,95.24,93.56,94.27,94.52,98.28
