Country,1991-1996,1997-2002,2003-2007,2008-2012,2013-2017,2018-2022
Denmark,0.34,0.34,0.29,0.23,0.25,0.3
Solomon Islands,63.55,58.65,53.55,49.89,43.96,36.21
United Arab Emirates,0.01,0.01,0.01,0.02,0.02,0.19
Dominican Republic,5.04,1.74,1.64,1.47,1.22,0.9
Samoa,1.41,1.34,1.17,0.89,0.64,0.42
Philippines,10.42,10.01,9.31,8.84,6.81,4.28
Nepal,44.27,41.51,37.3,32.33,26.52,22.28
Eritrea,26.23,24.09,18.43,14.6,13.02,12.58
Singapore,0.46,0.41,0.38,0.37,0.3,0.26
Iceland,1.87,1.11,1.06,1.39,1.51,1.44
Brunei Darussalam,0.35,0.32,0.36,0.35,0.35,0.49
Bulgaria,1.33,1.18,1.06,0.63,0.43,0.43
Bahamas,0.28,0.09,0.08,0.25,0.33,0.34
Poland,4.48,3.77,3.52,2.52,1.88,1.2
Macao,0.3,0.24,0.24,0.19,0.06,0.03
"Iran, Islamic Republic of",4.03,4.64,5.64,3.93,2.32,2.04
Uruguay,0.84,0.74,0.8,0.76,0.51,0.49
Brazil,5.31,4.43,3.67,2.1,1.53,1.32
United States,0.11,0.07,0.05,0.06,0.05,0.05
Nigeria,9.07,8.49,7.37,5.08,1.31,5.49
Guam,0.82,0.68,0.58,0.51,0.47,0.46
Bhutan,42.51,41.61,39.67,34.75,26.05,20.51
Haiti,24.95,22.63,20.51,18.27,16.14,14.38
Peru,14.38,12.25,10.94,8.94,7.88,8.07
Italy,2.79,2.94,1.69,1.14,1.01,0.85
Morocco,20.49,21.96,20.76,14.37,12.27,9.02
Slovenia,2.62,4.26,3.42,3.54,2.88,1.55
Cabo Verde,19.65,17.34,14.93,10.67,6.62,4.68
Ireland,1.2,0.84,0.58,0.78,0.71,0.65
