Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2008
Japan,25.78,27.09,27.46,26.89,34.38,30.9,37.79,40.14
Lesotho,83.99,81.84,82.34,84.56,88.26,87.33,86.05,83.45
Bermuda,24.69,17.09,12.99,6.43,,,,
Faroe Islands,93.36,93.58,93.15,92.21,,,,
Norway,18.04,17.84,21.54,27.62,58.13,57.95,56.5,61.11
Ecuador,85.54,84.74,84.23,83.0,93.24,93.48,92.14,89.7
Argentina,84.98,84.13,83.62,84.45,95.57,94.77,94.69,94.61
Croatia,53.61,53.84,49.97,44.94,61.23,60.2,60.4,65.62
Kuwait,2.63,4.36,5.72,4.69,43.74,54.27,51.37,46.55
Albania,75.23,75.61,73.08,68.06,86.67,92.86,91.43,90.33
Jamaica,51.77,57.21,61.81,65.69,78.13,76.66,76.58,70.71
Marshall Islands,0.0,0.0,0.0,0.0,,,,
Congo,44.15,44.09,43.93,48.54,95.14,92.99,94.03,95.84
Guyana,83.33,81.2,80.03,80.53,94.97,94.77,94.16,95.01
Liberia,59.35,55.93,54.45,53.73,29.39,29.19,27.51,27.23
Thailand,79.86,79.27,79.18,79.17,91.28,88.72,86.88,87.56
"Virgin Islands, British",93.69,91.43,85.17,80.02,,,,
