Country,1970-1977,1978-1985,1986-1993,1994-2001,2002-2008,2009-2015
Burkina Faso,0.11,0.15,0.2,0.29,0.41,0.53
France,5.97,7.07,8.19,9.34,10.53,11.66
Timor-Leste,0.35,0.45,0.6,0.8,1.04,1.32
Dominican Republic,2.62,3.34,4.22,5.28,6.37,7.47
Suriname,3.04,3.81,4.73,5.83,6.99,8.14
"Palestine, State of",2.47,3.18,4.05,5.12,6.24,7.32
Hungary,6.83,7.98,9.16,10.38,11.59,12.69
Guinea,0.13,0.18,0.26,0.38,0.53,0.69
Australia,7.5,8.73,9.92,11.1,12.26,13.35
Saint Vincent and the Grenadines,2.83,3.55,4.4,5.4,6.45,7.52
Argentina,5.19,6.22,7.32,8.46,9.63,10.77
Uruguay,5.08,6.08,7.11,8.13,9.19,10.26
Chile,5.12,6.09,7.1,8.19,9.4,10.56
Guyana,3.7,4.58,5.6,6.73,7.86,8.99
Japan,7.8,8.99,10.17,11.36,12.53,13.57
Nigeria,0.92,1.25,1.72,2.39,3.16,3.93
Ghana,1.4,1.86,2.49,3.3,4.2,5.07
Egypt,1.14,1.56,2.16,2.95,3.75,4.57
Cabo Verde,0.54,0.7,0.92,1.19,1.51,1.88
South Africa,4.33,5.0,5.61,6.28,7.24,8.26
Kazakhstan,6.35,7.62,9.01,10.45,11.75,12.87
Mozambique,0.59,0.8,1.1,1.5,1.98,2.45
Tunisia,0.75,1.12,1.75,2.65,3.48,4.31
Bhutan,0.47,0.61,0.79,1.03,1.3,1.62
Trinidad and Tobago,4.69,5.69,6.77,7.94,9.15,10.31
Colombia,2.91,3.64,4.5,5.51,6.59,7.68
Saint Lucia,4.2,5.15,6.22,7.38,8.55,9.7
Belgium,6.73,7.91,9.13,10.36,11.58,12.68
"Korea, Democratic People's Republic of",2.95,3.71,4.61,5.65,6.73,7.83
Armenia,6.01,7.19,8.43,9.68,10.85,11.95
