Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2003,2004-2005,2006-2007
Algeria,17.33,18.67,20.0,21.33,22.5,24.0,25.0
Tunisia,13.67,14.67,13.33,11.33,10.5,11.0,11.5
ant,6.0,5.0,4.67,4.0,4.0,3.5,3.0
Antigua and Barbuda,4.33,4.0,3.0,3.0,3.0,3.0,2.5
Finland,7.0,5.67,5.67,4.67,3.5,3.0,3.0
Austria,9.67,8.33,7.67,6.33,6.0,6.0,6.0
Thailand,61.67,61.0,61.0,61.0,61.0,62.0,62.0
Romania,36.0,46.67,54.0,61.33,65.0,61.5,53.5
Cuba,13.0,10.0,8.0,6.33,5.0,4.0,4.0
Haiti,163.33,162.0,162.0,161.33,161.0,161.0,161.0
Sao Tome and Principe,60.0,57.0,54.0,51.0,49.5,47.5,45.5
Montserrat,5.0,5.0,5.0,4.67,4.0,4.0,4.0
Zimbabwe,138.67,166.67,200.0,254.0,301.5,312.0,301.0
Cyprus,4.0,3.33,3.0,2.67,2.0,2.0,2.0
Comoros,36.67,32.67,29.0,25.0,22.5,21.0,19.5
Niue,25.67,24.33,17.0,19.0,31.5,0.0,0.0
