Country,2004-2007,2008-2010,2011-2013,2014-2016,2017-2019
Costa Rica,48.62,49.07,48.8,48.57,48.17
"Korea, Republic of",31.7,32.15,31.6,31.3,
Gambia,,43.6,,35.9,
Georgia,37.15,38.73,39.07,36.9,36.73
Denmark,25.55,26.37,27.87,28.27,28.2
Estonia,32.98,31.77,33.5,32.83,30.5
Philippines,47.2,46.3,46.5,44.6,42.3
Cabo Verde,47.2,,,42.4,
Vanuatu,,37.4,,,32.3
Mauritania,40.2,35.7,,32.6,
"Palestine, State of",34.58,34.9,34.4,33.7,
Slovenia,24.55,24.47,25.57,25.3,24.4
Syrian Arab Republic,,,,,
Honduras,57.72,53.3,52.0,49.63,48.83
Zimbabwe,,,43.2,,47.3
Mongolia,35.8,33.1,33.85,32.15,32.7
Angola,,42.7,,,51.3
Kenya,46.5,,,40.8,
Madagascar,39.9,42.4,42.6,,
Sudan,,35.4,,34.2,
Panama,53.97,52.03,51.5,50.57,49.63
Dominican Republic,50.75,48.1,47.17,45.07,42.6
Kazakhstan,32.98,28.23,27.77,27.0,27.65
United States,40.88,40.47,40.83,41.27,41.37
Solomon Islands,46.1,,37.1,,
