Country,1960-1968,1969-1977,1978-1986,1987-1995,1996-2004,2005-2013,2014-2022
Nepal,142311.44,133993.89,122139.22,96402.11,60180.44,32690.78,20061.11
Belarus,4787.17,3330.11,3151.11,2286.89,1250.44,664.0,367.33
South Sudan,,,63259.0,64114.11,54079.78,41226.0,36150.0
Timor-Leste,,,,5013.0,3805.44,2582.67,1842.56
China,,2017773.25,1319173.0,1254463.78,626905.11,304525.78,144904.56
Zambia,32382.22,36497.78,45062.22,64275.44,64860.67,45789.0,39293.0
Australia,5234.78,4747.0,2877.67,2200.0,1559.56,1414.56,1165.44
Palau,,,,11.83,8.0,5.33,5.56
Jordan,6003.78,6054.56,4996.22,4532.89,4117.67,3823.11,3689.11
Andorra,,,,7.5,5.67,4.11,2.11
Brazil,497366.78,423417.78,340956.22,223715.89,122659.67,62165.44,44197.89
Yemen,,112604.22,92886.78,81274.33,68287.67,49673.78,44978.33
Spain,29406.89,16945.78,7442.11,3528.67,2146.11,1915.11,1248.78
Germany,,17032.0,11092.89,6885.56,4099.44,2907.56,2853.56
Brunei Darussalam,230.0,199.56,113.67,93.67,68.11,63.11,65.56
Burundi,,42706.78,42472.78,42892.0,40150.67,36072.89,25731.22
