Country,1999-2003,2004-2007,2008-2011,2012-2015,2016-2019
Afghanistan,,63.0,65.25,64.5,66.0
Jordan,94.8,96.5,97.75,98.25,95.5
Costa Rica,86.4,89.0,87.25,92.0,97.5
Canada,14.0,14.0,49.0,62.25,71.5
Germany,85.6,87.75,87.5,87.0,87.0
Saint Vincent and the Grenadines,31.0,99.0,98.25,97.5,98.0
Kiribati,81.8,75.25,88.75,86.5,90.0
France,27.0,37.75,59.0,82.75,90.5
Kuwait,97.4,97.75,99.0,98.0,95.0
Central African Republic,,,44.67,41.0,47.0
Montenegro,,90.0,90.25,87.25,73.0
Honduras,93.25,94.25,95.75,98.0,90.0
San Marino,96.4,93.25,90.25,84.5,83.25
Armenia,77.0,86.25,92.75,94.25,93.0
Guinea,,57.0,60.25,49.5,46.5
Estonia,,93.75,94.25,92.75,92.25
Kazakhstan,95.6,96.5,99.0,96.75,94.0
Sweden,,,29.0,40.0,83.0
Iraq,62.6,60.5,72.75,66.75,81.5
Dominican Republic,70.4,83.5,81.0,81.0,85.0
"Bolivia, Plurinational State of",77.75,84.0,91.75,88.5,82.25
Eswatini,85.6,93.25,89.5,95.25,90.0
Somalia,,,,42.0,42.0
India,,6.5,37.0,77.25,89.5
